Plate 1: cols 1-6,Plate 1: cols 7-12,Plate 2: cols 1-6,Plate 2: cols 7-12,A: Ladder
17.9121,23.97631,11.10383,9.27632,23.5269
17.87187,23.79717,10.98157,9.159952,24.2836
17.72887,23.5135,10.8986,9.135549,25.25076
17.60947,23.20982,10.88705,9.170799,26.42698
17.46636,22.94557,10.84797,9.238143,27.77225
17.29927,22.76881,10.74123,9.30549,29.27802
17.12368,22.44333,10.60847,9.31679,31.62307
16.94177,21.91763,10.60526,9.375477,34.778
16.76973,21.68015,10.52001,9.419423,39.41025
16.76313,21.50573,10.40271,9.437728,46.8855
16.89485,21.38891,10.31589,9.467606,60.14503
16.8686,21.39581,10.29453,9.341798,82.98757
16.79128,21.51838,10.22751,9.237831,116.8274
16.75759,21.49332,10.2219,9.154153,162.9063
16.77641,21.34855,10.27042,9.065512,222.1286
16.81343,21.2953,10.33173,8.880182,298.8162
16.61337,21.20943,10.33391,8.797953,381.1364
16.53221,21.00933,10.35575,8.707421,459.7057
16.29658,20.98961,10.39618,8.596084,527.605
15.98118,20.84805,10.44065,8.513472,576.6704
15.84222,20.91037,10.46333,8.502499,592.6003
15.87175,20.95752,10.38738,8.524175,581.113
16.05615,20.77499,10.37228,8.597002,544.5192
16.14789,20.712,10.40079,8.726778,486.0204
16.07422,20.54356,10.4717,8.862576,408.3343
16.09482,20.33684,10.61415,8.990178,326.451
16.15907,20.18215,10.65658,9.179795,249.0388
16.13023,20.15031,10.70243,9.389166,181.5846
15.96231,20.15203,10.83664,9.513587,129.3567
15.67177,20.00114,11.07964,9.627675,95.19321
15.71726,20.00094,11.22008,9.669821,71.46447
15.64608,20.09369,11.31309,9.661909,55.9219
15.65148,20.14903,11.34072,9.630027,46.6165
15.73939,20.39927,11.33428,9.619007,42.67534
15.78507,20.36048,11.34486,9.664315,40.77062
15.9397,20.35509,11.46323,9.680952,39.48239
16.05492,20.36992,11.49244,9.703344,38.58598
16.0994,20.27745,11.52497,9.80079,38.10643
16.06975,20.06405,11.57402,9.826806,37.44533
16.02509,20.24475,11.60689,9.894289,36.94813
15.91038,20.37279,11.57295,9.996737,36.59937
15.88923,20.37519,11.65982,10.12656,36.37094
16.07482,20.35637,11.79084,10.27188,36.20304
16.53353,20.54518,11.91969,10.52223,36.2823
16.69571,20.62654,12.03891,10.77294,36.20414
16.78295,20.70729,12.09955,11.01228,36.00615
16.87145,20.82666,12.32578,11.2463,35.84453
16.98238,20.98906,12.62991,11.51677,36.42871
17.08872,21.22369,12.90063,11.78228,37.90487
17.18182,21.48458,13.02235,12.07799,41.15582
17.19905,21.61809,13.48767,12.41031,46.81778
17.23067,21.75021,13.9548,12.75362,55.67208
17.33467,22.18867,14.36575,12.97979,71.20973
17.3972,22.18045,14.72635,13.28965,94.51883
17.68361,22.46136,15.0019,13.63073,127.7862
18.05648,22.59911,15.34663,13.93786,172.9979
18.43565,22.528,15.66866,14.30697,234.6483
18.75094,22.49243,15.89495,14.53208,307.0803
19.21157,22.44243,15.95415,14.71841,382.6418
19.57935,22.64033,16.31852,14.93149,455.4014
19.95049,22.9514,16.54152,15.23831,517.7685
20.34435,23.29419,16.71128,15.66366,553.2609
20.66814,23.63994,16.92964,16.0878,565.5267
20.94255,24.13576,17.35075,16.54472,553.616
21.15351,24.76606,17.83369,17.05643,517.6726
21.32461,25.3058,18.35541,17.54016,457.429
21.49123,25.74183,18.83232,17.99676,384.4964
21.73382,26.34247,19.2292,18.42163,309.6088
21.95851,26.7432,19.7103,18.85865,238.7331
22.23491,27.1587,20.3095,19.39281,177.4208
22.59567,27.54334,20.9154,19.9016,134.4276
23.05895,27.95235,21.5782,20.49592,102.7075
23.40113,28.6278,22.3609,21.23978,80.45122
23.9683,28.92208,23.0152,22.16753,65.6654
24.65452,29.27308,23.8537,23.26369,56.07848
25.39388,29.78234,24.9268,24.41238,51.77343
26.20721,30.46188,26.20104,25.64738,49.54901
27.19937,31.19824,27.57476,26.99351,48.44574
28.37707,31.90335,28.77301,28.46996,47.94818
29.70235,32.9343,30.21546,29.90706,47.30589
31.10425,34.22711,31.63067,31.51762,47.12381
32.34365,35.64608,32.90076,32.96688,47.25273
33.44212,36.97094,34.12089,34.15036,47.54793
34.45,38.38989,35.4818,35.43262,47.8171
35.4453,40.03761,36.81281,36.73674,48.40253
36.55822,41.21581,38.30246,38.19281,49.20358
38.24063,41.78463,40.27177,39.82475,49.99387
40.88288,43.5029,43.61753,41.70338,50.5944
44.59755,46.23973,49.37407,45.84188,53.44834
50.07254,52.53395,58.96518,55.59611,60.75243
60.6956,64.2198,75.59702,73.24346,75.57258
83.87351,83.26291,103.2741,101.5498,101.2193
121.2436,114.1911,153.0993,146.3627,144.0674
175.0649,167.2394,225.3043,219.2502,207.1544
247.4975,241.5099,321.088,316.5799,292.8615
351.6418,339.6058,439.4998,437.535,401.6028
476.0818,462.1944,576.8655,579.0366,531.5713
611.7764,605.4136,716.3009,722.7612,673.0115
748.9878,747.2004,840.9369,848.7963,802.4379
872.6232,868.0345,937.4144,944.146,907.1402
954.4804,955.0992,994.7554,998.791,976.996
990.923,998.087,999.6722,999.929,998.649
979.2429,980.5222,942.223,937.5919,960.3649
919.9784,907.2826,846.7332,835.5669,883.6218
814.5897,796.1586,723.4593,704.4047,775.7676
681.7551,659.7385,583.393,555.9435,644.9616
539.8055,511.9135,441.338,410.554,502.7083
401.2004,370.5598,319.8494,287.4804,376.1232
278.6271,257.3378,221.744,190.903,270.9134
189.2723,172.2346,147.4785,120.9619,189.3395
126.4497,113.9076,95.74863,74.41445,131.688
85.19836,78.4616,69.42294,53.51077,98.03047
60.94446,59.04557,53.5286,41.81417,75.61917
49.19612,48.27021,43.68229,35.48371,60.49654
42.63994,41.33912,37.53598,31.61001,49.66022
37.12055,36.40612,33.28676,29.03286,43.10425
32.8932,32.6427,30.80461,26.85483,39.26031
30.44702,30.15405,28.57771,24.91802,36.3351
28.51001,27.92272,26.55913,23.08266,33.85466
26.40273,25.83831,24.66887,21.17082,31.70666
24.42806,23.88541,22.76384,19.39367,29.39777
22.67653,22.09288,21.24818,17.90175,27.57723
21.1359,20.57748,19.85487,16.5335,25.95979
19.97485,19.27766,18.49807,15.24149,24.35643
18.91003,18.04683,17.15743,14.31164,22.78442
17.94502,16.9487,16.02681,13.45733,21.57103
17.07648,16.16543,15.11431,12.7778,20.43943
16.28721,15.36912,14.3714,12.21239,19.34466
15.58471,14.49315,13.71676,11.64873,18.29938
14.90644,13.70968,13.06906,11.23943,17.65457
14.22106,13.03319,12.58623,10.86086,17.15006
13.4874,12.35423,12.18904,10.43053,16.64274
12.47789,11.67875,11.81689,9.960115,16.09226
11.60721,11.16192,11.46557,9.641749,15.62136
10.79931,10.77459,11.16282,9.264441,15.57054
10.05485,10.44442,10.71739,8.860415,15.32417
9.439361,10.05173,10.22463,8.466826,14.86811
8.933346,9.582128,9.801331,8.112652,14.29838
8.593082,9.138613,9.465908,7.64461,13.74641
8.316131,8.543513,9.085793,7.283185,12.97536
8.047565,7.832917,8.782628,6.981247,12.14394
7.935015,7.306462,8.46289,6.729804,11.41409
7.709862,7.029603,8.230987,6.560493,11.05309
7.46733,6.67277,8.149435,6.366381,10.79114
7.211265,6.298216,8.081166,6.194964,10.77123
6.923015,5.961669,7.943121,6.043318,10.72566
6.630855,5.701093,7.726797,5.894845,10.41529
6.197015,5.687202,7.472992,5.659872,10.19163
5.813614,5.597701,7.242801,5.440892,9.801761
5.54151,5.411648,7.131787,5.221536,9.468528
5.303981,5.1476,6.909902,4.988067,9.188732
5.294196,4.866404,6.548286,4.722175,8.785322
5.255207,4.498033,6.140521,4.410442,8.266977
5.243938,4.277097,5.875377,4.142214,8.000043
5.298954,4.177134,5.669236,3.880904,7.893892
5.214759,4.141636,5.405482,3.606858,7.860259
5.100509,4.091129,5.115629,3.422726,7.96218
4.932633,3.975054,4.804566,3.27635,8.231648
4.666678,3.801191,4.432199,3.15411,8.240335
4.24748,3.683742,4.149052,3.042215,8.025645
3.86735,3.667387,3.882745,2.921483,7.872142
3.540242,3.587791,3.621032,2.718085,7.756765
3.311208,3.412593,3.363581,2.605646,7.523404
3.179682,3.289014,3.140067,2.517936,7.173881
3.065604,3.18532,2.90147,2.398753,6.738645
3.108184,3.078144,2.880837,2.208916,6.334759
3.044852,3.052895,2.953012,2.010521,6.181745
2.942722,2.970151,2.904564,1.832654,5.918482
2.906297,2.869063,2.680729,1.70868,5.613019
2.94422,2.779314,2.548238,1.67449,5.477548
2.794381,2.699183,2.421593,1.563987,5.402272
2.491054,2.495926,2.316167,1.506292,5.362628
2.145304,2.15724,2.309971,1.488131,5.305538
1.955459,1.981296,2.300573,1.44929,5.249209
1.915779,1.845807,2.238752,1.184448,5.384449
1.979458,1.613642,2.159066,1.137826,5.054828
2.076948,1.543145,2.097161,1.0593,4.780292
2.175169,1.438778,2.100904,0.9614614,4.581203
2.337097,1.425323,1.968282,0.9037274,4.384148
2.305044,1.406714,1.715797,0.7896541,4.247079
2.407321,1.270155,1.461553,0.814567,4.075806
2.596092,1.185007,1.285391,0.8600618,3.835275
2.731885,1.108776,1.097073,0.8445104,3.530793
2.618898,0.9516981,0.9987124,0.684168,3.226343
2.478793,0.6858769,0.9919078,0.6946063,3.014021
2.310739,0.3506006,1.017265,0.7296692,2.79237
2.145384,0.3737793,0.992775,0.6747858,2.581511
2.056691,0.2569107,0.8205911,0.4532726,2.401358
1.937585,0.1286861,0.6320698,0.3537787,2.104938
1.834324,0.03754254,0.5201023,0.1978156,1.957822
1.679506,0,0.4085686,0.09866723,1.913323
1.420379,0,0.1041923,0.06829221,1.964253
1.054474,0.09564734,0.05803399,0.0323975,2.134681
0.8169396,0.08203898,0.01925268,0.008023988,2.148479
0.5897347,0,0,0.04996169,2.063848
0.3581803,0.006950628,0.01434301,0.06818751,1.902024
0.1411723,0.1473533,0.08605804,0.002539458,1.702821
0.08499262,0.06440915,0.1101715,0.02850323,1.635702
0.05139604,0,0.05545702,0.01208432,1.850501
0.02362091,0.001825102,0,0,1.794685
0.02148147,0.007761926,0,0,1.466753
0.1281728,0.001405538,0,0,1.194266
0.1888255,0,0,0,1.021092
0.1761488,0.03652397,0,0,0.8902842
0.1022125,0.08775131,0,0,0.6997916
0,0.08825114,0,0,0.3923396
0,0.01694422,0,0,0.05269379
0,0,0.01722971,0.07600382,0.01968222
0,0.04262139,0.06208185,0.064626,0.1243813
0.004648703,0.08385897,0.1190009,0,0.3355464
0.02154277,0,0.1530023,0,0.6572742
