Plate 1: cols 1-6,Plate 1: cols 7-12,Plate 2: cols 1-6,Plate 2: cols 7-12,A: Ladder
389.1302,362.4381,366.9723,365.9736,363.7633
367.22,340.9397,347.0099,347.3275,342.963
345.4825,319.8299,326.8948,328.903,321.853
323.5274,298.699,306.4348,310.2873,300.8332
301.9081,277.5839,285.7879,291.1077,280.1337
280.7618,256.6579,265.241,271.2068,259.195
260.2481,236.0257,245.3243,251.7982,239.2975
240.6524,216.348,225.1676,232.9727,219.7705
221.0284,197.4016,206.1337,214.6628,200.4884
202.3971,179.2219,188.5835,196.6867,181.497
184.5729,161.9133,172.2682,179.6258,163.7812
167.3566,145.7309,155.4258,163.2839,147.1846
151.3098,130.797,139.9715,147.6379,132.142
136.5109,116.9357,125.8662,132.8236,118.7394
123.0031,104.4156,112.9871,119.6858,106.3511
110.6131,93.62405,101.1542,107.8076,95.31042
98.97472,84.05557,90.99023,96.8364,85.37424
88.75327,75.7088,81.70612,86.72912,76.56757
79.67609,68.18252,73.35491,77.46984,68.92577
71.93848,61.47663,66.01017,69.38564,62.75373
65.4119,55.79242,59.81953,62.26155,57.05569
59.40752,51.24633,54.24447,55.99689,51.96858
54.28436,47.57121,49.26184,50.5235,47.58845
49.71131,44.24571,44.89836,45.86121,44.05521
45.65821,41.15345,41.15576,41.96009,40.42482
42.12764,38.46274,38.0605,38.55184,37.56559
39.36042,36.35577,35.53836,35.57925,35.31409
36.99423,34.82116,33.38273,33.00096,33.30104
34.91242,33.50745,31.54401,30.97523,31.40897
33.06931,32.2973,30.03964,29.20624,29.87262
31.43818,31.28148,28.65069,27.71614,28.78363
30.40983,30.29177,27.38083,26.47691,28.06055
29.50054,29.33991,26.27658,25.38693,27.3674
28.58592,28.46972,25.2906,24.45436,26.84638
27.59379,27.7535,24.21858,23.58405,26.36573
26.54097,27.30575,23.23227,22.75506,25.92495
25.58954,26.59846,22.37066,21.95778,25.51911
24.63617,25.95673,21.61858,21.24378,24.99911
23.76644,25.39796,20.95366,20.65491,25.02787
23.0889,24.90414,20.36549,19.99458,25.21201
22.41522,24.41755,19.75131,19.26696,25.52728
21.93247,23.79992,19.1573,18.63569,26.22136
21.47784,23.34313,18.53137,18.12986,27.2034
21.00243,22.71336,17.8083,17.61329,28.50057
20.5442,21.77533,17.07043,17.04821,30.10679
19.72307,20.75673,16.39863,16.4346,32.0117
19.05901,19.89641,15.75888,15.94059,34.29165
18.46298,19.28049,15.10378,15.25132,36.83154
17.8334,18.68576,14.36906,14.54624,39.69714
17.12766,18.02441,13.90592,13.89267,42.8081
16.48068,17.53795,13.50994,13.3243,45.97159
15.87895,17.04904,13.12079,12.8179,49.3665
15.26552,16.51272,12.71405,12.30634,52.86176
14.57403,15.96086,12.31747,11.87982,56.47139
14.187,15.45157,12.01512,11.57731,60.23648
13.82645,15.10503,11.67212,11.28702,64.34039
13.49319,14.51616,11.31954,11.02443,68.61707
13.19232,14.03129,10.99238,10.76624,73.13958
12.93911,13.7099,10.69308,10.52471,77.94648
12.84312,13.55672,10.34622,10.32163,83.06119
12.67708,13.54033,9.99943,9.869603,89.00703
12.4011,13.36795,9.766825,9.619232,95.68429
12.03028,13.18283,9.745982,9.403409,103.1418
11.78665,13.01961,9.630363,9.131506,111.417
11.5776,12.9042,9.48626,8.830194,120.6483
11.33291,12.90299,9.391054,8.476834,131.147
11.17165,12.95569,9.343303,8.178296,142.7632
11.32261,13.01143,9.291264,7.989127,155.8777
11.53405,13.09831,9.324124,7.952909,170.8889
11.66238,13.23391,9.488236,8.101228,187.181
11.76485,13.31128,9.659447,8.259672,204.7163
11.88985,13.58614,9.767852,8.405532,222.8744
12.08852,13.87425,9.810781,8.541011,241.2964
12.19991,14.11602,9.885723,8.705913,259.7883
12.34151,14.28897,10.01216,8.933629,277.6553
12.54477,14.41396,10.14748,9.143724,294.853
12.81487,14.69762,10.25054,9.330195,309.6822
13.0441,15.20234,10.29737,9.492733,320.3867
13.38577,15.74827,10.46381,9.576324,325.9334
13.87621,16.13449,10.67068,9.817286,327.0015
14.4541,16.68959,11.04433,10.11794,323.8904
14.96498,17.41178,11.72898,10.50663,316.4214
15.5551,18.10955,12.50813,11.14502,303.893
16.02439,18.8643,13.26955,11.8465,286.8768
16.53805,19.83261,14.04859,12.46576,266.8499
17.16907,20.87143,14.82305,13.04571,244.545
17.70855,22.01355,15.53186,13.62423,220.7483
18.5397,23.30331,16.11343,14.10833,196.373
19.44824,24.72992,16.88345,14.80171,172.945
20.37913,26.25956,17.65164,15.59814,149.811
21.31609,28.03062,18.37728,16.42665,127.4236
22.42246,29.67389,19.25426,17.20601,107.0565
23.58692,31.42941,20.17419,18.10794,90.0625
24.84293,33.39781,21.29193,19.09471,75.49216
26.20454,35.5922,22.63057,20.30539,63.3993
27.67232,37.81561,24.15042,21.79709,53.82658
29.12213,40.17656,25.64374,23.34257,47.31708
30.68031,42.6357,27.25545,24.89871,43.10254
32.28941,45.20977,28.98564,26.65633,40.19515
33.93895,47.94665,30.77775,28.6482,38.44343
35.91272,50.68675,32.5981,30.84196,37.89645
37.92018,53.5985,34.95177,33.1587,38.55882
39.95189,56.6511,37.43039,35.6877,40.12046
42.05592,59.77302,40.10702,38.39615,42.32088
44.30278,62.85136,43.04547,41.23643,45.09061
46.68516,65.85004,46.30256,44.119,48.96603
49.2277,69.1048,49.89369,47.45451,53.28687
51.90834,72.58075,53.7999,51.06106,58.45363
54.72654,76.24822,57.94055,54.93768,64.6539
57.72512,80.08395,62.30069,59.11796,72.01559
