A1: Ladder,"B1: Library 1, with own oligos","C1: Library 2, with NXT oligos","D1: Library 3, without enrichment"
26.72012,31.67347,31.70077,21.83404
25.23061,30.45338,30.08905,20.63207
24.0973,29.02096,28.62386,19.47315
23.20973,27.55537,27.38076,18.16581
22.53953,26.33618,26.14294,17.056
22.0131,25.22268,25.26197,16.19039
21.68251,24.1863,24.44309,15.4461
21.08369,23.44382,23.48035,14.76546
20.1467,22.68682,22.74436,14.05838
18.94755,22.34863,22.353,13.30364
17.80779,22.24066,22.06732,12.56378
17.15009,22.59892,21.8898,11.87983
16.96193,23.35742,21.94243,11.38895
16.98878,24.22358,22.14771,10.67551
17.67026,25.11531,22.89095,9.817931
18.62548,26.11593,23.52885,9.096066
19.60486,27.11549,24.09263,8.591871
20.73819,28.06368,24.96169,8.27037
22.37259,29.00653,25.74632,7.995417
24.09107,29.90501,26.59437,7.718971
26.06144,30.85871,27.71816,7.440646
28.73896,31.58575,28.94893,7.278997
32.01804,32.48546,29.85018,7.091921
35.9494,33.34985,30.34666,6.922911
40.62402,34.14128,30.98124,6.68352
46.09826,34.37254,31.61425,6.267816
52.74046,34.3818,31.99514,6.019747
61.02905,34.12889,31.98958,5.813781
69.44665,33.61248,31.97199,5.821612
79.18703,32.90763,31.47096,5.820335
89.87233,32.01523,30.88059,5.800488
101.3207,30.99305,30.21323,5.694789
114.855,29.72747,29.18925,5.574556
130.1845,28.48383,27.68207,5.436671
145.875,27.21432,25.88977,5.256641
163.2305,25.40912,24.26318,5.224066
183.6305,23.38453,22.58612,5.252872
206.3634,21.35985,21.4541,4.926751
230.8029,19.43502,19.97212,4.726228
258.1825,17.6305,18.66454,4.400955
286.5265,16.04144,17.43853,4.150658
317.3116,14.73246,16.41925,3.983646
348.813,13.60057,15.36784,3.895425
381.9665,12.53732,14.21116,3.969509
415.7693,11.59111,13.19695,4.16551
448.495,10.83142,12.19241,4.192103
479.6444,9.782617,11.23657,4.649577
505.2456,8.98071,10.24307,4.661879
526.9603,8.265912,9.483659,4.394277
541.2733,7.568193,8.941429,4.27297
549.5159,7.373539,8.667542,4.094623
550.6817,7.370105,8.274836,3.827688
542.8427,7.220278,7.988677,3.711413
