A1: Ladder,"B1: Library 1, with own oligos","C1: Library 2, with NXT oligos","D1: Library 3, without enrichment"
65.25845,42.51471,37.76296,35.6944
55.2275,34.21349,32.84251,32.13602
48.76455,28.96301,28.73201,28.54629
44.4801,24.84515,25.43448,25.43102
40.94263,21.68648,22.9125,22.81245
37.70679,19.09962,20.72466,20.3449
34.97897,16.86158,18.77802,18.58452
32.40251,14.8046,17.29942,17.26384
30.1539,12.95764,16.04096,16.02626
28.27687,11.40298,15.38087,14.67069
26.61435,10.01712,14.17518,13.32778
25.08671,9.037668,13.23857,12.19671
23.64929,8.44939,12.41729,10.90722
22.37678,7.64398,11.60335,9.886067
21.20327,7.148134,10.67599,9.057918
20.15449,6.740667,9.833343,8.351714
18.97951,6.323119,9.098577,7.788399
17.56845,6.012038,8.440387,7.576962
17.06348,5.540475,8.017339,7.543868
16.41306,4.878043,7.714567,7.43187
15.59585,4.159809,7.706766,7.246541
15.04986,3.405289,7.422175,6.961592
14.70828,2.84071,7.210929,6.584061
14.38773,2.474272,7.248024,6.190861
14.00452,2.067403,6.924478,5.678028
13.60765,2.036544,6.362079,5.197269
13.10119,2.073361,5.841924,4.960492
12.66325,1.996148,5.368779,4.85494
11.99195,1.983148,4.888121,4.771791
11.69812,1.850229,4.55866,4.74862
11.55455,1.69365,4.296699,4.519269
10.51484,1.570418,4.150117,4.27093
9.687253,1.444749,3.94643,4.187116
8.993315,1.409654,3.896106,3.954552
8.647453,1.323786,4.218581,3.80547
8.535708,1.164855,4.270743,3.521306
8.487587,1.218216,4.152341,3.211646
8.575091,1.304105,4.15234,3.108889
8.993889,1.140397,4.141508,3.10435
8.968672,1.253056,3.872107,2.847488
8.762846,1.231221,3.538161,2.733868
8.990607,1.081443,3.09073,2.404675
8.644915,0.7965699,2.945329,2.052768
8.082313,0.4771885,2.482817,1.816543
7.645308,0.3015816,2.146068,1.555732
6.890727,0.1419847,1.834471,1.250568
6.625901,0.03528653,1.56592,0.9986459
6.383604,0.002560223,1.45031,0.8216583
6.145256,0.1211839,1.502658,0.5866475
5.958006,0.2566887,1.523223,0.3410632
5.70723,0.4812998,1.369183,0.05539742
5.300923,0.4512338,1.519536,0.002785574
4.828884,0.3322738,1.449814,0.1197207
4.466285,0.1588821,1.377303,0.1169453
4.11446,0.0493186,1.024244,0.03224637
3.880053,0.1118876,0.8239394,0.03660111
3.587578,0.1964612,0.3593627,0.09429438
3.380286,0.1277191,0.04030421,0.001993756
3.29997,0,0.0578855,0.02181404
2.957928,0,0.09647583,0.002931994
2.746764,0,0.01672615,0
2.393231,0,0.1186479,0.04085407
2.481885,0,0.4139577,0.2463368
2.456941,0.04785313,0.35715,0.5813948
2.088856,0.08226374,0.2852089,0.7438014
1.549343,0.04626245,0.2003605,0.5298031
1.132775,0.06291474,0.2604472,0.3341559
1.028327,0.1101008,0.1350196,0.3103098
0.8559629,0,0.01047605,0.03914356
0.7529776,0,0.01428552,0
0.4210564,0.01015146,0,0
0.05944166,0.1865332,0,0.0004534603
0.07359798,0.02284079,0.003987972,0.09071703
0.3911321,0,0.04685867,0.354039
0.2091359,0.05963064,0.004984965,0.6464107
0.04668408,0.05475041,0,0.5617998
0,0.1069714,0,0.2810642
0,0.1363794,0.02576501,0.03977044
0.05394519,0.06325617,0.0711427,0.001620106
0.2099176,0,0.1340127,0
0.4009663,0.02194013,0.1433689,0
0.4531983,0.1348468,0.06408892,0.03535241
0.2399073,0.3144237,0.0631882,0.1001349
0.3945535,0.01912036,0.004282734,0.1746934
0.7411584,0,0.09636151,0.310745
0.8650649,0,0.01848252,0.388529
0.6847587,0.03257199,0.0009918248,0.09104851
1.024049,0.2207057,0,0.03202174
1.202598,0.1639393,0.05022746,0.008814573
0.772453,0,0.1615134,0.0468812
0.3729703,0,0.2143299,0.04732769
0.1185388,0,0.1200268,0.02448145
0,0.02502322,0,0.07092392
0,0.133778,0,0.07053407
0,0,0,0.1498916
