"Category"	"Deduplicated reads (remaining)"	"Duplicate reads (removed)"
"La_01_Lambda"	589097	6302997
"La_02_C_Lambda"	636480	10098298
"La_03_C_Lambda"	391755	3189286
"La_04_C_Lambda"	488981	5824355
