"Position (bp)"	"01_BAT_r3_C_1 - nextera_transposase_sequence"	"01_BAT_r3_C_2 - nextera_transposase_sequence"	"01_Blood_r2_C_1 - nextera_transposase_sequence"	"01_Blood_r2_C_2 - nextera_transposase_sequence"	"01_Liver_r1_C_1 - nextera_transposase_sequence"	"01_Liver_r1_C_2 - nextera_transposase_sequence"	"02_BAT_r3_C_1 - nextera_transposase_sequence"	"02_BAT_r3_C_2 - nextera_transposase_sequence"	"02_Blood_r2_C_1 - nextera_transposase_sequence"	"02_Blood_r2_C_2 - nextera_transposase_sequence"	"02_Liver_r1_C_1 - nextera_transposase_sequence"	"02_Liver_r1_C_2 - nextera_transposase_sequence"	"03_BAT_r3_C_1 - nextera_transposase_sequence"	"03_BAT_r3_C_2 - nextera_transposase_sequence"	"03_Blood_r2_C_1 - nextera_transposase_sequence"	"03_Blood_r2_C_2 - nextera_transposase_sequence"	"03_Liver_r1_C_1 - nextera_transposase_sequence"	"03_Liver_r1_C_2 - nextera_transposase_sequence"	"04_BAT_r3_C_1 - nextera_transposase_sequence"	"04_BAT_r3_C_2 - nextera_transposase_sequence"	"04_Blood_r2_C_1 - nextera_transposase_sequence"	"04_Blood_r2_C_2 - nextera_transposase_sequence"	"04_Liver_r1_C_1 - nextera_transposase_sequence"	"04_Liver_r1_C_2 - nextera_transposase_sequence"	"05_BAT_r3_C_1 - nextera_transposase_sequence"	"05_BAT_r3_C_2 - nextera_transposase_sequence"	"05_scAT_r3_C_1 - nextera_transposase_sequence"	"05_scAT_r3_C_2 - nextera_transposase_sequence"	"06_BAT_r3_C_1 - nextera_transposase_sequence"	"06_BAT_r3_C_2 - nextera_transposase_sequence"	"06_Blood_r2_C_1 - nextera_transposase_sequence"	"06_Blood_r2_C_2 - nextera_transposase_sequence"	"06_scAT_r3_C_1 - nextera_transposase_sequence"	"06_scAT_r3_C_2 - nextera_transposase_sequence"	"07_BAT_r3_C_1 - nextera_transposase_sequence"	"07_BAT_r3_C_2 - nextera_transposase_sequence"	"07_Blood_r2_C_1 - nextera_transposase_sequence"	"07_Blood_r2_C_2 - nextera_transposase_sequence"	"07_scAT_r3_C_1 - nextera_transposase_sequence"	"07_scAT_r3_C_2 - nextera_transposase_sequence"	"08_BAT_r3_C_1 - nextera_transposase_sequence"	"08_BAT_r3_C_2 - nextera_transposase_sequence"	"08_Blood_r2_C_1 - nextera_transposase_sequence"	"08_Blood_r2_C_2 - nextera_transposase_sequence"	"08_Liver_r1_C_1 - nextera_transposase_sequence"	"08_Liver_r1_C_2 - nextera_transposase_sequence"	"08_scAT_r3_C_1 - nextera_transposase_sequence"	"08_scAT_r3_C_2 - nextera_transposase_sequence"	"09_BAT_r3_C_1 - nextera_transposase_sequence"	"09_BAT_r3_C_2 - nextera_transposase_sequence"	"09_Blood_r2_C_1 - nextera_transposase_sequence"	"09_Blood_r2_C_2 - nextera_transposase_sequence"	"09_Liver_r1_C_1 - nextera_transposase_sequence"	"09_Liver_r1_C_2 - nextera_transposase_sequence"	"10_BAT_r3_C_1 - nextera_transposase_sequence"	"10_BAT_r3_C_2 - nextera_transposase_sequence"	"10_Blood_r2_C_1 - nextera_transposase_sequence"	"10_Blood_r2_C_2 - nextera_transposase_sequence"	"10_Liver_r1_C_1 - nextera_transposase_sequence"	"10_Liver_r1_C_2 - nextera_transposase_sequence"	"11_Blood_r2_C_1 - nextera_transposase_sequence"	"11_Blood_r2_C_2 - nextera_transposase_sequence"	"11_Liver_r1_C_1 - nextera_transposase_sequence"	"11_Liver_r1_C_2 - nextera_transposase_sequence"	"12_Blood_r2_C_1 - nextera_transposase_sequence"	"12_Blood_r2_C_2 - nextera_transposase_sequence"	"12_Liver_r1_C_1 - nextera_transposase_sequence"	"12_Liver_r1_C_2 - nextera_transposase_sequence"	"12_scAT_r2_C_1 - nextera_transposase_sequence"	"12_scAT_r2_C_2 - nextera_transposase_sequence"	"13_Liver_r1_C_1 - nextera_transposase_sequence"	"13_Liver_r1_C_2 - nextera_transposase_sequence"	"13_scAT_r3_C_1 - nextera_transposase_sequence"	"13_scAT_r3_C_2 - nextera_transposase_sequence"	"14_Liver_r1_C_1 - nextera_transposase_sequence"	"14_Liver_r1_C_2 - nextera_transposase_sequence"	"14_Liver_r3_C_1 - nextera_transposase_sequence"	"14_Liver_r3_C_2 - nextera_transposase_sequence"	"14_scAT_r3_C_1 - nextera_transposase_sequence"	"14_scAT_r3_C_2 - nextera_transposase_sequence"	"15_Liver_r3_C_1 - nextera_transposase_sequence"	"15_Liver_r3_C_2 - nextera_transposase_sequence"	"15_scAT_r3_C_1 - nextera_transposase_sequence"	"15_scAT_r3_C_2 - nextera_transposase_sequence"	"16_Liver_r3_C_1 - nextera_transposase_sequence"	"16_Liver_r3_C_2 - nextera_transposase_sequence"	"16_scAT_r3_C_1 - nextera_transposase_sequence"	"16_scAT_r3_C_2 - nextera_transposase_sequence"
12	0.006024023806942085	0	0.0017306727124833422	0	0	0	0.0008989572096368213	0	0.0010565463612543318	0	0	0	0.006566958349066671	0	0.0022292851637887657	0	0	0	0.005094243504839531	0	0	0	0.0033246891415652634	0	0	0	0.004484132576582579	0	0	0	0.008023750300890637	0	0.0014601204599379448	0	0	0	0	0	0.0010036029345349806	0	0	0	0.006141248720573183	0	0.003545344962064809	0	0.0019720365221163895	0	0.005968011458582	0	0	0	0.00896571510543681	0	0	0	0.0012607637706922854	0	0.0017806584875086806	0	0.0013756577363551949	0	0.0030680493342332945	0	0.0016635429027714622	0	0.002159640635798203	0	0.005753834519719213	0	0.002363563308043206	0	0.013337398064171939	0	0.004895361644841513	0	0.002457274145790075	0	0.015010507355148604	0	0	0	0.006744452687664396	0	0	0	0.0016127601583730475	0
14	0.006024023806942085	0	0.0017306727124833422	0	0	0	0.0008989572096368213	0	0.0010565463612543318	0	0	0	0.006566958349066671	0	0.003184693091126808	0	0	0	0.005094243504839531	0	0	0	0.0033246891415652634	0	0	0	0.005124722944665804	0	0	0	0.008023750300890637	0	0.0014601204599379448	0	0	0	0	0	0.003010808803604942	0	0	0	0.006141248720573183	0	0.003545344962064809	0	0.0019720365221163895	0	0.005968011458582	0	0	0	0.00896571510543681	0	0	0	0.0012607637706922854	0	0.0017806584875086806	0	0.0013756577363551949	0	0.0030680493342332945	0	0.002218057203695283	0	0.002159640635798203	0	0.0065758108796791	0	0.002363563308043206	0	0.013337398064171939	0	0.004895361644841513	0	0.002457274145790075	0	0.015010507355148604	0	0	0	0.006744452687664396	0	0	0	0.0016127601583730475	0
16	0.006024023806942085	0	0.0017306727124833422	0	0	0	0.0008989572096368213	0	0.0010565463612543318	0	0	0	0.006566958349066671	0	0.003184693091126808	0	0	0	0.005094243504839531	0	0	0	0.0033246891415652634	0	0	0	0.005124722944665804	0	0	0	0.008023750300890637	0	0.0014601204599379448	0	0	0	0	0	0.003010808803604942	0	0	0	0.006141248720573183	0	0.003545344962064809	0	0.0019720365221163895	0	0.005968011458582	0	0	0	0.00896571510543681	0	0	0	0.0012607637706922854	0	0.0017806584875086806	0	0.0013756577363551949	0	0.0030680493342332945	0	0.002218057203695283	0	0.002159640635798203	0	0.0065758108796791	0	0.002363563308043206	0	0.013337398064171939	0	0.004895361644841513	0	0.002457274145790075	0	0.015010507355148604	0	0	0	0.006744452687664396	0	0	0	0.0016127601583730475	0
18	0.006024023806942085	0	0.0017306727124833422	0	0	0	0.0008989572096368213	0	0.0010565463612543318	0	0	0	0.006566958349066671	0	0.003184693091126808	0	0	0	0.005094243504839531	0	0	0.0003321354315435662	0.0033246891415652634	0	0	0	0.005124722944665804	0.001281180736166451	0	0	0.008023750300890637	0	0.0014601204599379448	0	0	0	0	0	0.003010808803604942	0	0	0	0.006141248720573183	0	0.003545344962064809	0	0.0019720365221163895	0	0.005968011458582	0	0	0	0.00896571510543681	0	0	0	0.0012607637706922854	0	0.0017806584875086806	0	0.0013756577363551949	0	0.0030680493342332945	0	0.002218057203695283	0	0.002159640635798203	0	0.0065758108796791	0	0.002363563308043206	0	0.013337398064171939	0.0019053425805959912	0.004895361644841513	0	0.002457274145790075	0	0.015010507355148604	0	0	0	0.006744452687664396	0	0	0	0.0016127601583730475	0
20	0.006024023806942085	0	0.0017306727124833422	0	0	0	0.0008989572096368213	0	0.0010565463612543318	0	0	0	0.006566958349066671	0	0.003184693091126808	0	0	0	0.005094243504839531	0	0.0006642708630871324	0.0006642708630871324	0.0033246891415652634	0	0	0	0.005124722944665804	0.001281180736166451	0	0	0.008023750300890637	0	0.0014601204599379448	0	0	0	0	0	0.003010808803604942	0	0	0	0.006141248720573183	0	0.003545344962064809	0	0.0019720365221163895	0	0.005968011458582	0	0	0	0.00896571510543681	0	0	0	0.0012607637706922854	0	0.0017806584875086806	0	0.0013756577363551949	0	0.0030680493342332945	0	0.002218057203695283	0	0.002159640635798203	0	0.0065758108796791	0	0.002363563308043206	0	0.013337398064171939	0.0019053425805959912	0.004895361644841513	0	0.002457274145790075	0	0.015010507355148604	0	0	0	0.006744452687664396	0	0	0	0.0016127601583730475	0
22	0.006024023806942085	0	0.0017306727124833422	0	0	0	0.0008989572096368213	0	0.0010565463612543318	0	0	0	0.006566958349066671	0	0.003184693091126808	0.0003184693091126808	0	0	0.005094243504839531	0	0.0013285417261742647	0.0006642708630871324	0.0033246891415652634	0	0	0	0.005124722944665804	0.001281180736166451	0	0	0.008023750300890637	0	0.0014601204599379448	0	0	0	0	0	0.003010808803604942	0	0	0	0.006141248720573183	0	0.003545344962064809	0	0.0019720365221163895	0	0.005968011458582	0	0.0008589146754161441	0	0.00896571510543681	0	0	0	0.0012607637706922854	0	0.0017806584875086806	0	0.0013756577363551949	0	0.0030680493342332945	0	0.002218057203695283	0	0.002159640635798203	0	0.0065758108796791	0	0.002363563308043206	0	0.013337398064171939	0.0019053425805959912	0.004895361644841513	0	0.002457274145790075	0	0.015010507355148604	0	0	0	0.006744452687664396	0	0	0	0.0016127601583730475	0
24	0.006024023806942085	0	0.0017306727124833422	0	0	0	0.0008989572096368213	0	0.0010565463612543318	0	0	0	0.006566958349066671	0	0.003184693091126808	0.0006369386182253616	0	0	0.005094243504839531	0	0.0013285417261742647	0.0006642708630871324	0.0033246891415652634	0	0	0	0.005124722944665804	0.001281180736166451	0	0	0.008023750300890637	0	0.0014601204599379448	0	0	0	0	0	0.003010808803604942	0	0	0	0.006141248720573183	0	0.003545344962064809	0	0.0019720365221163895	0	0.005968011458582	0	0.0008589146754161441	0	0.00896571510543681	0	0	0	0.0012607637706922854	0	0.0017806584875086806	0	0.0013756577363551949	0	0.0030680493342332945	0	0.002218057203695283	0	0.002159640635798203	0	0.0065758108796791	0	0.002363563308043206	0	0.013337398064171939	0.0019053425805959912	0.004895361644841513	0	0.002457274145790075	0	0.015010507355148604	0	0	0	0.006744452687664396	0	0	0	0.0016127601583730475	0
26	0.006024023806942085	0	0.0017306727124833422	0	0	0	0.0008989572096368213	0	0.0010565463612543318	0	0	0	0.006566958349066671	0	0.003184693091126808	0.0006369386182253616	0	0	0.005094243504839531	0	0.0013285417261742647	0.0006642708630871324	0.0033246891415652634	0	0	0	0.005124722944665804	0.001281180736166451	0	0	0.008023750300890637	0	0.0014601204599379448	0	0	0	0	0	0.003010808803604942	0	0	0	0.006141248720573183	0	0.003545344962064809	0	0.0019720365221163895	0	0.005968011458582	0	0.0008589146754161441	0	0.00896571510543681	0	0	0	0.0012607637706922854	0	0.0017806584875086806	0	0.0013756577363551949	0	0.0030680493342332945	0	0.002218057203695283	0	0.002159640635798203	0	0.0065758108796791	0	0.002363563308043206	0	0.01524274064476793	0.0019053425805959912	0.004895361644841513	0	0.002457274145790075	0	0.015010507355148604	0	0	0	0.006744452687664396	0.0006744452687664396	0	0	0.0016127601583730475	0
28	0.006024023806942085	0	0.0017306727124833422	0	0	0	0.0008989572096368213	0	0.0010565463612543318	0	0	0	0.006566958349066671	0	0.003184693091126808	0.0006369386182253616	0	0	0.005094243504839531	0	0.0013285417261742647	0.0006642708630871324	0.0033246891415652634	0	0	0	0.005124722944665804	0.001281180736166451	0	0	0.008023750300890637	0	0.0014601204599379448	0	0	0	0	0	0.004014411738139922	0	0	0	0.006141248720573183	0	0.003545344962064809	0	0.0019720365221163895	0	0.005968011458582	0	0.0008589146754161441	0	0.00896571510543681	0	0	0	0.0012607637706922854	0.0012607637706922854	0.0017806584875086806	0	0.0013756577363551949	0.0003439144340887987	0.0030680493342332945	0	0.002218057203695283	0	0.002159640635798203	0	0.0065758108796791	0	0.002363563308043206	0	0.01524274064476793	0.0019053425805959912	0.004895361644841513	0	0.002457274145790075	0	0.015010507355148604	0	0	0	0.006744452687664396	0.0013488905375328793	0	0	0.0016127601583730475	0
30	0.006024023806942085	0	0.0017306727124833422	0	0	0	0.0017979144192736426	0	0.0010565463612543318	0	0	0	0.006566958349066671	0	0.003184693091126808	0.0006369386182253616	0	0	0.005094243504839531	0	0.0013285417261742647	0.0006642708630871324	0.0033246891415652634	0	0	0	0.005124722944665804	0.001281180736166451	0	0	0.008023750300890637	0	0.0014601204599379448	0	0	0	0	0	0.004014411738139922	0	0	0	0.006141248720573183	0	0.003545344962064809	0	0.0019720365221163895	0	0.005968011458582	0	0.0008589146754161441	0	0.00896571510543681	0	0	0	0.0012607637706922854	0.0012607637706922854	0.0017806584875086806	0	0.0013756577363551949	0.0006878288681775974	0.0030680493342332945	0	0.002218057203695283	0	0.002159640635798203	0	0.0065758108796791	0	0.002363563308043206	0	0.01524274064476793	0.0019053425805959912	0.004895361644841513	0	0.002457274145790075	0	0.015010507355148604	0	0	0.005245764045533232	0.006744452687664396	0.0020233358062993188	0	0	0.0016127601583730475	0
