"Position (bp)"	"01_BAT_r3_C_1 - nextera_transposase_sequence"	"01_BAT_r3_C_2 - nextera_transposase_sequence"	"01_Blood_r2_C_1 - nextera_transposase_sequence"	"01_Blood_r2_C_2 - nextera_transposase_sequence"	"01_Liver_r1_C_1 - nextera_transposase_sequence"	"01_Liver_r1_C_2 - nextera_transposase_sequence"	"02_BAT_r3_C_1 - nextera_transposase_sequence"	"02_BAT_r3_C_2 - nextera_transposase_sequence"	"02_Blood_r2_C_1 - nextera_transposase_sequence"	"02_Blood_r2_C_2 - nextera_transposase_sequence"	"02_Liver_r1_C_1 - nextera_transposase_sequence"	"02_Liver_r1_C_2 - nextera_transposase_sequence"	"03_BAT_r3_C_1 - nextera_transposase_sequence"	"03_BAT_r3_C_2 - nextera_transposase_sequence"	"03_Blood_r2_C_1 - nextera_transposase_sequence"	"03_Blood_r2_C_2 - nextera_transposase_sequence"	"03_Liver_r1_C_1 - nextera_transposase_sequence"	"03_Liver_r1_C_2 - nextera_transposase_sequence"	"04_BAT_r3_C_1 - nextera_transposase_sequence"	"04_BAT_r3_C_2 - nextera_transposase_sequence"	"04_Blood_r2_C_1 - nextera_transposase_sequence"	"04_Blood_r2_C_2 - nextera_transposase_sequence"	"04_Liver_r1_C_1 - nextera_transposase_sequence"	"04_Liver_r1_C_2 - nextera_transposase_sequence"	"05_BAT_r3_C_1 - nextera_transposase_sequence"	"05_BAT_r3_C_2 - nextera_transposase_sequence"	"05_scAT_r3_C_1 - nextera_transposase_sequence"	"05_scAT_r3_C_2 - nextera_transposase_sequence"	"06_BAT_r3_C_1 - nextera_transposase_sequence"	"06_BAT_r3_C_2 - nextera_transposase_sequence"	"06_Blood_r2_C_1 - nextera_transposase_sequence"	"06_Blood_r2_C_2 - nextera_transposase_sequence"	"06_scAT_r3_C_1 - nextera_transposase_sequence"	"06_scAT_r3_C_2 - nextera_transposase_sequence"	"07_BAT_r3_C_1 - nextera_transposase_sequence"	"07_BAT_r3_C_2 - nextera_transposase_sequence"	"07_Blood_r2_C_1 - nextera_transposase_sequence"	"07_Blood_r2_C_2 - nextera_transposase_sequence"	"07_scAT_r3_C_1 - nextera_transposase_sequence"	"07_scAT_r3_C_2 - nextera_transposase_sequence"	"08_BAT_r3_C_1 - nextera_transposase_sequence"	"08_BAT_r3_C_2 - nextera_transposase_sequence"	"08_Blood_r2_C_1 - nextera_transposase_sequence"	"08_Blood_r2_C_2 - nextera_transposase_sequence"	"08_Liver_r1_C_1 - nextera_transposase_sequence"	"08_Liver_r1_C_2 - nextera_transposase_sequence"	"08_scAT_r3_C_1 - nextera_transposase_sequence"	"08_scAT_r3_C_2 - nextera_transposase_sequence"	"09_BAT_r3_C_1 - nextera_transposase_sequence"	"09_BAT_r3_C_2 - nextera_transposase_sequence"	"09_Blood_r2_C_1 - nextera_transposase_sequence"	"09_Blood_r2_C_2 - nextera_transposase_sequence"	"09_Liver_r1_C_1 - nextera_transposase_sequence"	"09_Liver_r1_C_2 - nextera_transposase_sequence"	"10_BAT_r3_C_1 - nextera_transposase_sequence"	"10_BAT_r3_C_2 - nextera_transposase_sequence"	"10_Blood_r2_C_1 - nextera_transposase_sequence"	"10_Blood_r2_C_2 - nextera_transposase_sequence"	"10_Liver_r1_C_1 - nextera_transposase_sequence"	"10_Liver_r1_C_2 - nextera_transposase_sequence"	"11_Blood_r2_C_1 - nextera_transposase_sequence"	"11_Blood_r2_C_2 - nextera_transposase_sequence"	"11_Liver_r1_C_1 - nextera_transposase_sequence"	"11_Liver_r1_C_2 - nextera_transposase_sequence"	"12_Blood_r2_C_1 - nextera_transposase_sequence"	"12_Blood_r2_C_2 - nextera_transposase_sequence"	"12_Liver_r1_C_1 - nextera_transposase_sequence"	"12_Liver_r1_C_2 - nextera_transposase_sequence"	"12_scAT_r2_C_1 - nextera_transposase_sequence"	"12_scAT_r2_C_2 - nextera_transposase_sequence"	"13_Liver_r1_C_1 - nextera_transposase_sequence"	"13_Liver_r1_C_2 - nextera_transposase_sequence"	"13_scAT_r3_C_1 - nextera_transposase_sequence"	"13_scAT_r3_C_2 - nextera_transposase_sequence"	"14_Liver_r1_C_1 - nextera_transposase_sequence"	"14_Liver_r1_C_2 - nextera_transposase_sequence"	"14_Liver_r3_C_1 - nextera_transposase_sequence"	"14_Liver_r3_C_2 - nextera_transposase_sequence"	"14_scAT_r3_C_1 - nextera_transposase_sequence"	"14_scAT_r3_C_2 - nextera_transposase_sequence"	"15_Liver_r3_C_1 - nextera_transposase_sequence"	"15_Liver_r3_C_2 - nextera_transposase_sequence"	"15_scAT_r3_C_1 - nextera_transposase_sequence"	"15_scAT_r3_C_2 - nextera_transposase_sequence"	"16_Liver_r3_C_1 - nextera_transposase_sequence"	"16_Liver_r3_C_2 - nextera_transposase_sequence"	"16_scAT_r3_C_1 - nextera_transposase_sequence"	"16_scAT_r3_C_2 - nextera_transposase_sequence"
32	0.006024023806942085	0	0.0017306727124833422	0	0	0	0.0017979144192736426	0	0.0010565463612543318	0	0	0	0.006566958349066671	0	0.003184693091126808	0.0006369386182253616	0	0	0.005094243504839531	0	0.0013285417261742647	0.0006642708630871324	0.0033246891415652634	0	0	0	0.005124722944665804	0.0019217711042496765	0	0	0.008023750300890637	0	0.0014601204599379448	0	0	0	0	0	0.004014411738139922	0	0	0	0.006141248720573183	0	0.003545344962064809	0	0.0019720365221163895	0	0.005968011458582	0	0.0008589146754161441	0	0.00896571510543681	0	0	0	0.0012607637706922854	0.0012607637706922854	0.0017806584875086806	0	0.0013756577363551949	0.0006878288681775974	0.0030680493342332945	0	0.002218057203695283	0	0.002159640635798203	0	0.0065758108796791	0	0.002363563308043206	0	0.01524274064476793	0.0019053425805959912	0.004895361644841513	0	0.002457274145790075	0	0.015010507355148604	0.0018763134193935755	0	0.005245764045533232	0.006744452687664396	0.0026977810750657585	0	0	0.0016127601583730475	0
34	0.006024023806942085	0	0.0017306727124833422	0	0	0	0.0017979144192736426	0	0.0010565463612543318	0	0	0	0.006566958349066671	0	0.003184693091126808	0.0006369386182253616	0	0	0.005094243504839531	0.0006367804381049414	0.0013285417261742647	0.0006642708630871324	0.0033246891415652634	0	0	0	0.005124722944665804	0.002562361472332902	0	0	0.008023750300890637	0	0.0014601204599379448	0.0003650301149844862	0	0	0	0	0.004014411738139922	0.0010036029345349806	0	0	0.006141248720573183	0	0.003545344962064809	0	0.0019720365221163895	0	0.005968011458582	0	0.0008589146754161441	0	0.00896571510543681	0	0	0	0.0012607637706922854	0.0012607637706922854	0.0017806584875086806	0	0.0013756577363551949	0.0006878288681775974	0.0030680493342332945	0	0.003327085805542925	0	0.002159640635798203	0	0.0065758108796791	0	0.002363563308043206	0	0.01524274064476793	0.0019053425805959912	0.004895361644841513	0	0.002457274145790075	0	0.015010507355148604	0.0018763134193935755	0	0.005245764045533232	0.006744452687664396	0.0026977810750657585	0	0	0.0016127601583730475	0
36	0.006024023806942085	0	0.0017306727124833422	0	0	0	0.0017979144192736426	0	0.0010565463612543318	0	0	0	0.006566958349066671	0	0.003184693091126808	0.0006369386182253616	0.0015964749832370127	0	0.005094243504839531	0.0025471217524197657	0.0013285417261742647	0.0006642708630871324	0.0033246891415652634	0	0	0	0.005124722944665804	0.003202951840416127	0	0	0.008023750300890637	0	0.0014601204599379448	0.0007300602299689724	0	0	0	0	0.004014411738139922	0.0010036029345349806	0	0	0.006141248720573183	0	0.003545344962064809	0	0.0019720365221163895	0	0.005968011458582	0	0.0008589146754161441	0	0.00896571510543681	0	0	0	0.0012607637706922854	0.0012607637706922854	0.0017806584875086806	0	0.0013756577363551949	0.0006878288681775974	0.0030680493342332945	0.0030680493342332945	0.003327085805542925	0	0.002159640635798203	0	0.0065758108796791	0	0.002363563308043206	0	0.01524274064476793	0.0019053425805959912	0.004895361644841513	0	0.002457274145790075	0	0.015010507355148604	0.0018763134193935755	0	0.005245764045533232	0.006744452687664396	0.0026977810750657585	0.0035398230088495575	0	0.0016127601583730475	0
38	0.006024023806942085	0	0.0017306727124833422	0	0	0	0.0017979144192736426	0	0.0010565463612543318	0	0	0	0.006566958349066671	0	0.003184693091126808	0.0006369386182253616	0.0031929499664740254	0	0.005094243504839531	0.0025471217524197657	0.0013285417261742647	0.0013285417261742647	0.0033246891415652634	0	0	0	0.005124722944665804	0.003843542208499353	0	0	0.008023750300890637	0	0.0014601204599379448	0.0007300602299689724	0	0	0	0	0.004014411738139922	0.0010036029345349806	0	0	0.006141248720573183	0	0.003545344962064809	0	0.0019720365221163895	0	0.005968011458582	0	0.0008589146754161441	0	0.00896571510543681	0	0	0	0.0037822913120768562	0.0012607637706922854	0.0017806584875086806	0	0.0013756577363551949	0.0006878288681775974	0.0030680493342332945	0.0030680493342332945	0.003327085805542925	0	0.002159640635798203	0	0.0065758108796791	0	0.002363563308043206	0	0.01524274064476793	0.0019053425805959912	0.004895361644841513	0	0.002457274145790075	0	0.015010507355148604	0.0018763134193935755	0	0.005245764045533232	0.006744452687664396	0.0040466716125986376	0.0035398230088495575	0	0.0016127601583730475	0
40	0.006024023806942085	0.001204804761388417	0.0017306727124833422	0	0	0	0.0017979144192736426	0	0.0010565463612543318	0.0010565463612543318	0	0	0.006566958349066671	0	0.003184693091126808	0.0012738772364507232	0.0031929499664740254	0	0.005094243504839531	0.0025471217524197657	0.0013285417261742647	0.0013285417261742647	0.0033246891415652634	0	0	0	0.005124722944665804	0.003843542208499353	0	0	0.008023750300890637	0	0.0014601204599379448	0.0010950903449534585	0	0	0	0	0.004014411738139922	0.0010036029345349806	0	0	0.006141248720573183	0	0.003545344962064809	0	0.0019720365221163895	0.0009860182610581948	0.005968011458582	0	0.0008589146754161441	0.00042945733770807207	0.00896571510543681	0	0	0	0.0037822913120768562	0.002521527541384571	0.0017806584875086806	0	0.0013756577363551949	0.0006878288681775974	0.0030680493342332945	0.0030680493342332945	0.003327085805542925	0	0.002159640635798203	0	0.0065758108796791	0	0.002363563308043206	0	0.01524274064476793	0.0019053425805959912	0.004895361644841513	0	0.002457274145790075	0	0.015010507355148604	0.0018763134193935755	0	0.005245764045533232	0.006744452687664396	0.0040466716125986376	0.0035398230088495575	0	0.0016127601583730475	0
42	0.006024023806942085	0.001204804761388417	0.0017306727124833422	0	0	0	0.0017979144192736426	0	0.0010565463612543318	0.0010565463612543318	0	0	0.006566958349066671	0.0016417395872666677	0.004458570327577531	0.0012738772364507232	0.0031929499664740254	0	0.005094243504839531	0.0025471217524197657	0.0013285417261742647	0.0013285417261742647	0.0033246891415652634	0	0	0	0.005124722944665804	0.003843542208499353	0	0	0.008023750300890637	0	0.0014601204599379448	0.0021901806899069175	0	0	0	0	0.004014411738139922	0.0010036029345349806	0	0	0.006141248720573183	0	0.003545344962064809	0	0.0019720365221163895	0.0009860182610581948	0.005968011458582	0	0.0008589146754161441	0.0008589146754161441	0.00896571510543681	0	0	0	0.0037822913120768562	0.0037822913120768562	0.0017806584875086806	0	0.0013756577363551949	0.0006878288681775974	0.0030680493342332945	0.0030680493342332945	0.003327085805542925	0	0.002159640635798203	0	0.0065758108796791	0	0.002363563308043206	0	0.01524274064476793	0.0019053425805959912	0.004895361644841513	0	0.002457274145790075	0	0.015010507355148604	0.0018763134193935755	0	0.005245764045533232	0.006744452687664396	0.0040466716125986376	0.0035398230088495575	0	0.0016127601583730475	0
44	0.006024023806942085	0.001204804761388417	0.0017306727124833422	0	0	0	0.0017979144192736426	0	0.0010565463612543318	0.0010565463612543318	0	0	0.006566958349066671	0.0016417395872666677	0.004458570327577531	0.0012738772364507232	0.0031929499664740254	0	0.005094243504839531	0.0025471217524197657	0.0013285417261742647	0.0013285417261742647	0.0033246891415652634	0	0	0	0.005124722944665804	0.003843542208499353	0	0	0.008023750300890637	0	0.0014601204599379448	0.0021901806899069175	0	0	0.0028795208477309375	0	0.004014411738139922	0.0015054044018024708	0	0	0.006141248720573183	0	0.003545344962064809	0	0.0019720365221163895	0.0009860182610581948	0.005968011458582	0	0.0008589146754161441	0.0012883720131242162	0.00896571510543681	0	0	0	0.0037822913120768562	0.0037822913120768562	0.0017806584875086806	0	0.0013756577363551949	0.0006878288681775974	0.006136098668466589	0.0030680493342332945	0.003327085805542925	0	0.002159640635798203	0	0.0065758108796791	0	0.002363563308043206	0	0.01524274064476793	0.0019053425805959912	0.004895361644841513	0	0.002457274145790075	0.0006143185364475188	0.015010507355148604	0.0028144701290903633	0	0.005245764045533232	0.006744452687664396	0.0040466716125986376	0.0035398230088495575	0	0.002419140237559571	0
46	0.006024023806942085	0.001204804761388417	0.0017306727124833422	0	0	0	0.0017979144192736426	0.00044947860481841064	0.0010565463612543318	0.0010565463612543318	0	0	0.006566958349066671	0.0016417395872666677	0.005095508945802893	0.0012738772364507232	0.0031929499664740254	0	0.005094243504839531	0.0025471217524197657	0.0013285417261742647	0.001992812589261397	0.0033246891415652634	0	0	0	0.0070464940489154805	0.003843542208499353	0	0	0.008023750300890637	0	0.0014601204599379448	0.0021901806899069175	0	0	0.005759041695461875	0	0.006021617607209883	0.002007205869069961	0	0	0.007164790174002047	0	0.003545344962064809	0	0.002465045652645487	0.0009860182610581948	0.005968011458582	0	0.0008589146754161441	0.0017178293508322883	0.00896571510543681	0	0	0	0.0037822913120768562	0.0037822913120768562	0.0017806584875086806	0	0.0013756577363551949	0.0006878288681775974	0.007670123335583237	0.0030680493342332945	0.003327085805542925	0	0.0032394609536973047	0	0.0065758108796791	0	0.002363563308043206	0	0.01524274064476793	0.0019053425805959912	0.004895361644841513	0	0.002457274145790075	0.0012286370728950375	0.015010507355148604	0.003752626838787151	0.002622882022766616	0.005245764045533232	0.008093343225197275	0.0040466716125986376	0.0035398230088495575	0	0.003225520316746095	0
48	0.006024023806942085	0.001204804761388417	0.0017306727124833422	0	0	0	0.0017979144192736426	0.0008989572096368213	0.0010565463612543318	0.0010565463612543318	0	0	0.006566958349066671	0.0016417395872666677	0.005095508945802893	0.0012738772364507232	0.0031929499664740254	0	0.006367804381049414	0.0025471217524197657	0.0013285417261742647	0.001992812589261397	0.0033246891415652634	0.0033246891415652634	0	0	0.008968265153165157	0.003843542208499353	0	0	0.008023750300890637	0	0.0014601204599379448	0.0021901806899069175	0	0	0.005759041695461875	0	0.008028823476279845	0.003010808803604942	0	0	0.008188331627430911	0	0.003545344962064809	0	0.0029580547831745845	0.0009860182610581948	0.005968011458582	0	0.0008589146754161441	0.0017178293508322883	0.00896571510543681	0	0	0	0.0037822913120768562	0.0037822913120768562	0.0017806584875086806	0	0.0013756577363551949	0.0006878288681775974	0.009204148002699884	0.0030680493342332945	0.003327085805542925	0	0.004319281271596406	0	0.0065758108796791	0	0.002363563308043206	0	0.01524274064476793	0.0019053425805959912	0.004895361644841513	0	0.002457274145790075	0.0012286370728950375	0.015010507355148604	0.003752626838787151	0.005245764045533232	0.005245764045533232	0.008093343225197275	0.0040466716125986376	0.0035398230088495575	0	0.004031900395932619	0
50	0.006024023806942085	0.001204804761388417	0.0017306727124833422	0	0	0	0.0017979144192736426	0.0008989572096368213	0.0010565463612543318	0.0010565463612543318	0	0	0.006566958349066671	0.0016417395872666677	0.005095508945802893	0.0012738772364507232	0.0031929499664740254	0	0.007641365257259297	0.0025471217524197657	0.0013285417261742647	0.001992812589261397	0.0033246891415652634	0.0033246891415652634	0	0	0.008968265153165157	0.003843542208499353	0	0	0.008023750300890637	0	0.0014601204599379448	0.0025552108048914036	0	0	0.005759041695461875	0	0.008028823476279845	0.003010808803604942	0	0	0.008188331627430911	0	0.003545344962064809	0	0.0029580547831745845	0.0009860182610581948	0.005968011458582	0	0.0008589146754161441	0.00214728668854036	0.00896571510543681	0	0	0.0008581481163648846	0.0037822913120768562	0.0037822913120768562	0.0017806584875086806	0	0.0013756577363551949	0.0006878288681775974	0.009204148002699884	0.0030680493342332945	0.003327085805542925	0	0.004319281271596406	0	0.0065758108796791	0	0.002363563308043206	0	0.01524274064476793	0.0019053425805959912	0.004895361644841513	0	0.002457274145790075	0.0012286370728950375	0.015010507355148604	0.003752626838787151	0.005245764045533232	0.005245764045533232	0.008093343225197275	0.0040466716125986376	0.007079646017699115	0	0.004031900395932619	0
52	0.006024023806942085	0.001204804761388417	0.0017306727124833422	0	0	0	0.0017979144192736426	0.0013484358144552318	0.0021130927225086636	0.0010565463612543318	0	0	0.006566958349066671	0.0016417395872666677	0.005095508945802893	0.0012738772364507232	0.0031929499664740254	0	0.007641365257259297	0.0025471217524197657	0.001660677157717831	0.002324948020804963	0.0033246891415652634	0.0033246891415652634	0	0	0.008968265153165157	0.003843542208499353	0	0	0.008023750300890637	0	0.0021901806899069175	0.0029202409198758896	0	0	0.005759041695461875	0	0.008028823476279845	0.004014411738139922	0	0	0.008188331627430911	0	0.003545344962064809	0	0.0029580547831745845	0.0009860182610581948	0.005968011458582	0	0.0012883720131242162	0.0025767440262484324	0.00896571510543681	0	0	0.0017162962327297692	0.0037822913120768562	0.0037822913120768562	0.0017806584875086806	0	0.0013756577363551949	0.0006878288681775974	0.009204148002699884	0.0030680493342332945	0.003327085805542925	0	0.004319281271596406	0	0.0065758108796791	0	0.002363563308043206	0	0.019053425805959912	0.0019053425805959912	0.004895361644841513	0	0.002457274145790075	0.0018429556093425563	0.015010507355148604	0.003752626838787151	0.005245764045533232	0.005245764045533232	0.008093343225197275	0.0040466716125986376	0.010619469026548672	0	0.004031900395932619	0.0004031900395932619
54	0.006024023806942085	0.001204804761388417	0.0017306727124833422	0	0	0	0.0017979144192736426	0.0017979144192736426	0.0021130927225086636	0.0010565463612543318	0	0	0.006566958349066671	0.0016417395872666677	0.006369386182253616	0.001592346545563404	0.0031929499664740254	0	0.007641365257259297	0.0025471217524197657	0.001992812589261397	0.0026570834523485295	0.0033246891415652634	0.0033246891415652634	0	0	0.008968265153165157	0.003843542208499353	0	0	0.008023750300890637	0	0.0021901806899069175	0.0029202409198758896	0	0	0.005759041695461875	0	0.008028823476279845	0.004014411738139922	0	0	0.008188331627430911	0	0.003545344962064809	0	0.003451063913703682	0.0009860182610581948	0.005968011458582	0	0.0017178293508322883	0.0034356587016645766	0.00896571510543681	0	0	0.0017162962327297692	0.0037822913120768562	0.0037822913120768562	0.0017806584875086806	0	0.0027513154727103898	0.0006878288681775974	0.009204148002699884	0.0030680493342332945	0.003327085805542925	0	0.004319281271596406	0	0.0065758108796791	0	0.002363563308043206	0	0.019053425805959912	0.0019053425805959912	0.004895361644841513	0	0.0036859112186851126	0.002457274145790075	0.01688682077454218	0.003752626838787151	0.005245764045533232	0.005245764045533232	0.008093343225197275	0.0040466716125986376	0.01592920353982301	0	0.004031900395932619	0.0008063800791865238
56	0.006024023806942085	0.001204804761388417	0.0017306727124833422	0	0	0	0.0017979144192736426	0.0022473930240920533	0.0021130927225086636	0.0010565463612543318	0	0	0.006566958349066671	0.0016417395872666677	0.007643263418704339	0.0019108158546760848	0.0031929499664740254	0	0.007641365257259297	0.0025471217524197657	0.001992812589261397	0.0026570834523485295	0.0033246891415652634	0.0033246891415652634	0	0	0.008968265153165157	0.003843542208499353	0	0	0.008023750300890637	0	0.0021901806899069175	0.003285271034860376	0	0	0.01151808339092375	0	0.008028823476279845	0.004014411738139922	0	0	0.008188331627430911	0	0.003545344962064809	0	0.003944073044232779	0.0009860182610581948	0.00671401289090475	0	0.0017178293508322883	0.0034356587016645766	0.00896571510543681	0.000896571510543681	0	0.0034325924654595385	0.0037822913120768562	0.004412673197422999	0.0017806584875086806	0	0.004126973209065584	0.0006878288681775974	0.009204148002699884	0.0030680493342332945	0.003327085805542925	0	0.004319281271596406	0	0.0065758108796791	0	0.002363563308043206	0	0.019053425805959912	0.0019053425805959912	0.004895361644841513	0	0.007371822437370225	0.002457274145790075	0.01688682077454218	0.003752626838787151	0.005245764045533232	0.005245764045533232	0.008093343225197275	0.0040466716125986376	0.017699115044247787	0	0.004031900395932619	0.0008063800791865238
58	0.006024023806942085	0.001204804761388417	0.0017306727124833422	0	0	0	0.0022473930240920533	0.002696871628910464	0.0021130927225086636	0.0010565463612543318	0	0	0.006566958349066671	0.0016417395872666677	0.007643263418704339	0.0019108158546760848	0.0031929499664740254	0	0.007641365257259297	0.0025471217524197657	0.001992812589261397	0.0026570834523485295	0.0033246891415652634	0.0033246891415652634	0	0	0.008968265153165157	0.003843542208499353	0	0	0.01337291716815106	0	0.0021901806899069175	0.004015331264829348	0	0	0.01151808339092375	0	0.008028823476279845	0.004014411738139922	0	0	0.008188331627430911	0	0.003545344962064809	0	0.004930091305290974	0.0009860182610581948	0.0074600143232275	0.00074600143232275	0.00214728668854036	0.0034356587016645766	0.00896571510543681	0.001793143021087362	0.0008581481163648846	0.0051488886981893075	0.0037822913120768562	0.005043055082769142	0.0017806584875086806	0	0.005846545379509578	0.0013756577363551949	0.009204148002699884	0.0030680493342332945	0.003881600106466746	0.0011090286018476416	0.004319281271596406	0	0.0065758108796791	0	0.002363563308043206	0	0.019053425805959912	0.0019053425805959912	0.004895361644841513	0	0.007371822437370225	0.002457274145790075	0.01688682077454218	0.004690783548483939	0.005245764045533232	0.005245764045533232	0.008093343225197275	0.005395562150131517	0.017699115044247787	0	0.004031900395932619	0.0016127601583730475
60	0.006024023806942085	0.001204804761388417	0.0017306727124833422	0	0	0	0.002696871628910464	0.002696871628910464	0.0021130927225086636	0.0021130927225086636	0	0	0.008208697936333338	0.0016417395872666677	0.007643263418704339	0.0019108158546760848	0.0031929499664740254	0	0.007641365257259297	0.0038206826286296485	0.0026570834523485295	0.0026570834523485295	0.0033246891415652634	0.0033246891415652634	0	0	0.008968265153165157	0.003843542208499353	0	0	0.01337291716815106	0	0.0025552108048914036	0.004380361379813835	0	0	0.01151808339092375	0	0.008028823476279845	0.004014411738139922	0	0	0.008188331627430911	0	0.003545344962064809	0	0.004930091305290974	0.0009860182610581948	0.0074600143232275	0.0014920028646455	0.0038651160393726484	0.0034356587016645766	0.00896571510543681	0.003586286042174724	0.0017162962327297692	0.0051488886981893075	0.0037822913120768562	0.005043055082769142	0.002670987731263021	0	0.006190459813598377	0.0013756577363551949	0.009204148002699884	0.0030680493342332945	0.004436114407390566	0.0011090286018476416	0.004319281271596406	0	0.0065758108796791	0	0.002363563308043206	0	0.019053425805959912	0.0019053425805959912	0.004895361644841513	0.0012238404112103782	0.007371822437370225	0.002457274145790075	0.01688682077454218	0.005628940258180727	0.005245764045533232	0.007868646068299848	0.008093343225197275	0.005395562150131517	0.017699115044247787	0	0.004838280475119142	0.002419140237559571
62	0.006024023806942085	0.001204804761388417	0.0017306727124833422	0	0	0	0.002696871628910464	0.002696871628910464	0.0021130927225086636	0.0021130927225086636	0	0	0.008208697936333338	0.0016417395872666677	0.008280202036929701	0.003184693091126808	0.0031929499664740254	0	0.008278145695364239	0.0038206826286296485	0.0026570834523485295	0.0026570834523485295	0.0033246891415652634	0.0033246891415652634	0	0	0.008968265153165157	0.005124722944665804	0	0	0.01337291716815106	0	0.0029202409198758896	0.004380361379813835	0	0	0.01151808339092375	0	0.008028823476279845	0.004014411738139922	0	0.0038929440389294406	0.008188331627430911	0	0.003545344962064809	0	0.004930091305290974	0.001479027391587292	0.0074600143232275	0.0014920028646455	0.006871317403329153	0.0034356587016645766	0.00896571510543681	0.003586286042174724	0.0017162962327297692	0.0051488886981893075	0.0037822913120768562	0.0069342007388075695	0.0035613169750173613	0	0.006190459813598377	0.0013756577363551949	0.015340246671166473	0.0030680493342332945	0.005545143009238208	0.0011090286018476416	0.004319281271596406	0	0.0065758108796791	0	0.002363563308043206	0	0.0209587683865559	0.0019053425805959912	0.004895361644841513	0.0024476808224207563	0.007986140973817744	0.002457274145790075	0.01688682077454218	0.005628940258180727	0.005245764045533232	0.010491528091066463	0.008093343225197275	0.005395562150131517	0.017699115044247787	0	0.005644660554305667	0.002419140237559571
64	0.006024023806942085	0.001204804761388417	0.0017306727124833422	0	0	0	0.002696871628910464	0.002696871628910464	0.0021130927225086636	0.0021130927225086636	0	0	0.008208697936333338	0.0016417395872666677	0.008280202036929701	0.003503162400239489	0.004789424949711038	0	0.00891492613346918	0.0038206826286296485	0.0026570834523485295	0.0026570834523485295	0.006649378283130527	0.0033246891415652634	0	0	0.008968265153165157	0.005124722944665804	0	0	0.01337291716815106	0	0.0029202409198758896	0.004745391494798321	0	0	0.01151808339092375	0	0.008530624943547335	0.004014411738139922	0	0.0038929440389294406	0.008188331627430911	0	0.003545344962064809	0	0.005916109566349169	0.0029580547831745845	0.0074600143232275	0.0014920028646455	0.006871317403329153	0.0034356587016645766	0.00896571510543681	0.003586286042174724	0.0017162962327297692	0.0051488886981893075	0.0037822913120768562	0.0075645826241537125	0.0035613169750173613	0.0017806584875086806	0.006190459813598377	0.0027513154727103898	0.015340246671166473	0.0030680493342332945	0.00665417161108585	0.0011090286018476416	0.004319281271596406	0	0.0065758108796791	0.0065758108796791	0.002363563308043206	0	0.0209587683865559	0.0019053425805959912	0.004895361644841513	0.0024476808224207563	0.008600459510265264	0.002457274145790075	0.01688682077454218	0.005628940258180727	0.005245764045533232	0.010491528091066463	0.010791124300263034	0.005395562150131517	0.017699115044247787	0	0.005644660554305667	0.002419140237559571
66	0.006024023806942085	0.001204804761388417	0.0017306727124833422	0	0	0	0.003146350233728875	0.002696871628910464	0.0021130927225086636	0.0021130927225086636	0	0	0.008208697936333338	0.006566958349066671	0.008280202036929701	0.0041401010184648505	0.006385899932948051	0	0.00891492613346918	0.0038206826286296485	0.0026570834523485295	0.003321354315435662	0.006649378283130527	0.0033246891415652634	0.002760600706713781	0	0.008968265153165157	0.005765313312749029	0	0	0.01337291716815106	0	0.0029202409198758896	0.006205511954736266	0	0	0.01151808339092375	0	0.009032426410814825	0.004014411738139922	0	0.004866180048661801	0.008188331627430911	0	0.003545344962064809	0	0.006902127827407363	0.004437082174761877	0.0074600143232275	0.0014920028646455	0.006871317403329153	0.0034356587016645766	0.00896571510543681	0.003586286042174724	0.0017162962327297692	0.0051488886981893075	0.0037822913120768562	0.008825346394845997	0.0035613169750173613	0.008012963193789063	0.006190459813598377	0.003439144340887987	0.015340246671166473	0.0030680493342332945	0.00665417161108585	0.0011090286018476416	0.0064789219073946094	0	0.0065758108796791	0.0065758108796791	0.002363563308043206	0	0.0209587683865559	0.0038106851611919824	0.004895361644841513	0.0024476808224207563	0.008600459510265264	0.003071592682237594	0.01688682077454218	0.005628940258180727	0.005245764045533232	0.010491528091066463	0.011465569569029475	0.009442233762730155	0.017699115044247787	0	0.005644660554305667	0.0028223302771528333
