"Position (bp)"	"01_BAT_r2_C_1 - nextera_transposase_sequence"	"01_BAT_r2_C_2 - nextera_transposase_sequence"	"01_Blood_r1_C_1 - nextera_transposase_sequence"	"01_Blood_r1_C_2 - nextera_transposase_sequence"	"02_Blood_r1_C_1 - nextera_transposase_sequence"	"02_Blood_r1_C_2 - nextera_transposase_sequence"	"03_Blood_r1_C_1 - nextera_transposase_sequence"	"03_Blood_r1_C_2 - nextera_transposase_sequence"	"03_Blood_r3_C_1 - nextera_transposase_sequence"	"03_Blood_r3_C_2 - nextera_transposase_sequence"	"03_scAT_r1_C_1 - nextera_transposase_sequence"	"03_scAT_r1_C_2 - nextera_transposase_sequence"	"04_Blood_r3_C_1 - nextera_transposase_sequence"	"04_Blood_r3_C_2 - nextera_transposase_sequence"	"04_scAT_r1_C_1 - nextera_transposase_sequence"	"04_scAT_r1_C_2 - nextera_transposase_sequence"	"05_BAT_r2_C_1 - nextera_transposase_sequence"	"05_BAT_r2_C_2 - nextera_transposase_sequence"	"05_Blood_r1_C_1 - nextera_transposase_sequence"	"05_Blood_r1_C_2 - nextera_transposase_sequence"	"05_Liver_r3_C_1 - nextera_transposase_sequence"	"05_Liver_r3_C_2 - nextera_transposase_sequence"	"06_BAT_r2_C_1 - nextera_transposase_sequence"	"06_BAT_r2_C_2 - nextera_transposase_sequence"	"06_Blood_r1_C_1 - nextera_transposase_sequence"	"06_Blood_r1_C_2 - nextera_transposase_sequence"	"07_BAT_r2_C_1 - nextera_transposase_sequence"	"07_BAT_r2_C_2 - nextera_transposase_sequence"	"07_Blood_r1_C_1 - nextera_transposase_sequence"	"07_Blood_r1_C_2 - nextera_transposase_sequence"	"08_BAT_r2_C_1 - nextera_transposase_sequence"	"08_BAT_r2_C_2 - nextera_transposase_sequence"	"08_Blood_r1_C_1 - nextera_transposase_sequence"	"08_Blood_r1_C_2 - nextera_transposase_sequence"	"09_Blood_r3_C_1 - nextera_transposase_sequence"	"09_Blood_r3_C_2 - nextera_transposase_sequence"	"09_Liver_r2_C_1 - nextera_transposase_sequence"	"09_Liver_r2_C_2 - nextera_transposase_sequence"	"09_scAT_r1_C_1 - nextera_transposase_sequence"	"09_scAT_r1_C_2 - nextera_transposase_sequence"	"10_Blood_r3_C_1 - nextera_transposase_sequence"	"10_Blood_r3_C_2 - nextera_transposase_sequence"	"10_Liver_r2_C_1 - nextera_transposase_sequence"	"10_Liver_r2_C_2 - nextera_transposase_sequence"	"10_scAT_r1_C_1 - nextera_transposase_sequence"	"10_scAT_r1_C_2 - nextera_transposase_sequence"	"11_Blood_r3_C_1 - nextera_transposase_sequence"	"11_Blood_r3_C_2 - nextera_transposase_sequence"	"11_Liver_r2_C_1 - nextera_transposase_sequence"	"11_Liver_r2_C_2 - nextera_transposase_sequence"	"11_scAT_r1_C_1 - nextera_transposase_sequence"	"11_scAT_r1_C_2 - nextera_transposase_sequence"	"12_Blood_r3_C_1 - nextera_transposase_sequence"	"12_Blood_r3_C_2 - nextera_transposase_sequence"	"12_Liver_r2_C_1 - nextera_transposase_sequence"	"12_Liver_r2_C_2 - nextera_transposase_sequence"	"12_scAT_r1_C_1 - nextera_transposase_sequence"	"12_scAT_r1_C_2 - nextera_transposase_sequence"	"13_BAT_r1_C_1 - nextera_transposase_sequence"	"13_BAT_r1_C_2 - nextera_transposase_sequence"	"13_Blood_r3_C_1 - nextera_transposase_sequence"	"13_Blood_r3_C_2 - nextera_transposase_sequence"	"13_Liver_r2_C_1 - nextera_transposase_sequence"	"13_Liver_r2_C_2 - nextera_transposase_sequence"	"13_scAT_r2_C_1 - nextera_transposase_sequence"	"13_scAT_r2_C_2 - nextera_transposase_sequence"	"14_BAT_r1_C_1 - nextera_transposase_sequence"	"14_BAT_r1_C_2 - nextera_transposase_sequence"	"14_Blood_r3_C_1 - nextera_transposase_sequence"	"14_Blood_r3_C_2 - nextera_transposase_sequence"	"14_Liver_r2_C_1 - nextera_transposase_sequence"	"14_Liver_r2_C_2 - nextera_transposase_sequence"	"14_scAT_r2_C_1 - nextera_transposase_sequence"	"14_scAT_r2_C_2 - nextera_transposase_sequence"	"15_BAT_r1_C_1 - nextera_transposase_sequence"	"15_BAT_r1_C_2 - nextera_transposase_sequence"	"15_Blood_r3_C_1 - nextera_transposase_sequence"	"15_Blood_r3_C_2 - nextera_transposase_sequence"	"15_Liver_r2_C_1 - nextera_transposase_sequence"	"15_Liver_r2_C_2 - nextera_transposase_sequence"	"15_scAT_r2_C_1 - nextera_transposase_sequence"	"15_scAT_r2_C_2 - nextera_transposase_sequence"	"16_BAT_r1_C_1 - nextera_transposase_sequence"	"16_BAT_r1_C_2 - nextera_transposase_sequence"	"16_Blood_r3_C_1 - nextera_transposase_sequence"	"16_Blood_r3_C_2 - nextera_transposase_sequence"	"16_Liver_r2_C_1 - nextera_transposase_sequence"	"16_Liver_r2_C_2 - nextera_transposase_sequence"
68	0.005212188180842081	0.0010424376361684161	0.003709783626869963	0.002782337720152472	0.009528851244044468	0.0010587612493382743	0.006621727211325802	0	0.005375525233611367	0.003583683489074245	0.004568546471254706	0.005482255765505647	0.00416413348546301	0.00416413348546301	0.004642833454931352	0.001989785766399151	0.013008553123678818	0.0032521382809197045	0.009045067046559482	0.006783800284919612	0.003085213599621547	0.0020568090664143646	0.006576639775517363	0.0021922132585057872	0.014335983318128503	0.0006516356053694774	0.007568147730243694	0.007912154445254772	0	0.0022036139268400176	0.01037375144491538	0.0037049112303269216	0.010214156821354398	0.002269812626967644	0.007980209081477934	0.007980209081477934	0.0030843571685601192	0.002056238112373413	0.010353957430443593	0.0014791367757776561	0.009005403241945167	0.005003001801080648	0.0012688423082779271	0.0025376846165558542	0.0032893384318079025	0.004934007647711854	0.004726716979942964	0.007877861633238274	0.0033291164524935084	0.00041613955656168855	0.004832474226804124	0.0032216494845360823	0.008957897879964169	0.006967253906638798	0.003968726435686788	0.003968726435686788	0.011489579834903577	0.0017676276669082425	0.008112438396170929	0	0.009260545446126776	0.009260545446126776	0.0015066140356163559	0	0.01574692934877699	0.0020995905798369316	0	0.006215040397762586	0.016343374293915157	0.005618034913533335	0.004807172301073201	0.0030044826881707506	0.004478230203423607	0.0011195575508559017	0.00568298060967016	0.001136596121934032	0.004033624292098937	0.004436986721308831	0.008436208205618516	0.007030173504682095	0	0.0010140445165542768	0	0.0012782166321548176	0.010679922716195618	0.0033981572278804235	0	0.005927330922885425
70	0.007297063453178914	0.0031273129085052486	0.003709783626869963	0.003709783626869963	0.009528851244044468	0.004764425622022234	0.006621727211325802	0	0.005375525233611367	0.005375525233611367	0.004568546471254706	0.006395965059756588	0.00416413348546301	0.005413373531101913	0.004642833454931352	0.0039795715327983015	0.013008553123678818	0.006504276561839409	0.010175700427379418	0.007914433665739547	0.003085213599621547	0.0020568090664143646	0.006576639775517363	0.0043844265170115745	0.014335983318128503	0.0026065424214779098	0.007568147730243694	0.014448282030465234	0	0.006610841780520053	0.01037375144491538	0.005557366845490382	0.010214156821354398	0.002837265783709555	0.007980209081477934	0.007980209081477934	0.0030843571685601192	0.002056238112373413	0.010353957430443593	0.0014791367757776561	0.009005403241945167	0.006003602161296778	0.0012688423082779271	0.006344211541389636	0.0032893384318079025	0.007401011471567781	0.004726716979942964	0.008665647796562101	0.0033291164524935084	0.0008322791131233771	0.007248711340206186	0.0052351804123711345	0.009953219866626855	0.011446202846620882	0.003968726435686788	0.003968726435686788	0.011489579834903577	0.0044190691672706065	0.008112438396170929	0.0020281095990427322	0.01003225756663734	0.01466253028970073	0.0030132280712327117	0	0.016096861112083145	0.0031493858697553972	0	0.006215040397762586	0.016343374293915157	0.009193148040327276	0.004807172301073201	0.005408068838707351	0.0055977877542795085	0.0022391151017118033	0.00568298060967016	0.001136596121934032	0.004033624292098937	0.005647074008938512	0.011248277607491353	0.012654312308427772	0	0.0010140445165542768	0	0.0025564332643096353	0.01165082478130431	0.004854510325543462	0	0.007409163653606781
72	0.007297063453178914	0.005212188180842081	0.003709783626869963	0.007419567253739926	0.009528851244044468	0.008470089994706194	0.006621727211325802	0	0.005823485669745648	0.008063287850417052	0.004568546471254706	0.007766529001132999	0.00416413348546301	0.005829786879648214	0.004642833454931352	0.008622404987729655	0.013008553123678818	0.008943380272529187	0.015828867331479094	0.009045067046559482	0.003085213599621547	0.004113618132828729	0.007124693090143809	0.0049324798316380215	0.014335983318128503	0.0026065424214779098	0.007568147730243694	0.016512322320531698	0.0022036139268400176	0.006610841780520053	0.011114733690980764	0.007039331337621151	0.010214156821354398	0.00567453156741911	0.009975261351847418	0.011970313622216903	0.0030843571685601192	0.002056238112373413	0.010353957430443593	0.0014791367757776561	0.009005403241945167	0.009505703422053232	0.0012688423082779271	0.007613053849667564	0.004111673039759878	0.010279182599399694	0.005514503143266791	0.010241220123209755	0.0033291164524935084	0.002496837339370131	0.007248711340206186	0.006040592783505154	0.009953219866626855	0.015925151786602965	0.007937452871373577	0.003968726435686788	0.011489579834903577	0.008838138334541213	0.008112438396170929	0.006084328797128197	0.010803969687147906	0.02006451513327468	0.0030132280712327117	0.0022599210534245337	0.016096861112083145	0.004899044686286174	0	0.006215040397762586	0.016343374293915157	0.01123606982706667	0.005408068838707351	0.007210758451609802	0.00671734530513541	0.003358672652567705	0.00568298060967016	0.001136596121934032	0.004840349150518724	0.006857161296568192	0.011248277607491353	0.01406034700936419	0	0.0015210667748314151	0	0.0025564332643096353	0.01165082478130431	0.008252667553423887	0	0.008890996384328137
74	0.007297063453178914	0.00833950108934733	0.003709783626869963	0.012520519740686124	0.009528851244044468	0.01111699311805188	0.006621727211325802	0	0.006271446105879929	0.009407169158819893	0.005025401118380176	0.011878220825262235	0.004580546834009311	0.006246200228194515	0.004974464415997877	0.009285666909862704	0.014634622264138671	0.009756414842759114	0.015828867331479094	0.009045067046559482	0.006684629465846685	0.004113618132828729	0.008768853034023149	0.014249386180287617	0.014335983318128503	0.003258178026847387	0.009632188020310156	0.02373646333576431	0.0022036139268400176	0.006610841780520053	0.011114733690980764	0.011114733690980764	0.010214156821354398	0.01248396944832204	0.015960418162955868	0.011970313622216903	0.004112476224746826	0.005140595280933532	0.010353957430443593	0.0014791367757776561	0.010006003602161296	0.01450870522313388	0.0012688423082779271	0.010785159620362382	0.004111673039759878	0.012746186423255623	0.006302289306590619	0.012604578613181238	0.0033291164524935084	0.003329116452493508	0.007248711340206186	0.006443298969072165	0.009953219866626855	0.022394744699910422	0.007937452871373577	0.003968726435686788	0.013257207501811818	0.011931486751630636	0.012168657594256393	0.010140547995213661	0.012347393928169036	0.023151363615316944	0.0030132280712327117	0.0030132280712327117	0.016096861112083145	0.006998635266123106	0	0.006215040397762586	0.018897026527339402	0.013789722060490915	0.006609861913975652	0.016224206516122053	0.007277124080563361	0.003358672652567705	0.006251278670637176	0.0056829806096701605	0.004840349150518724	0.009680698301037448	0.011248277607491353	0.01406034700936419	0	0.0020280890331085535	0	0.003834649896464453	0.012136275813858656	0.010679922716195618	0.005927330922885425	0.011854661845770848
76	0.007818282271263122	0.01094559517976837	0.004637229533587453	0.016230303367556088	0.009528851244044468	0.013763896241397565	0.006621727211325802	0.0013243454422651605	0.007167366978148491	0.011646971339491295	0.009137092942509412	0.015533058002265999	0.004996960182555612	0.009577507016564922	0.007959143065596605	0.01094382171519533	0.016260691404598522	0.016260691404598522	0.015828867331479094	0.009045067046559482	0.008227236265657458	0.005142022666035912	0.009864959663276043	0.020826025955804982	0.01498761892349798	0.003909813632216865	0.01272824845540985	0.02752053720088616	0.0022036139268400176	0.006610841780520053	0.011855715937046148	0.016672100536471147	0.01134906313483822	0.018158501015741152	0.019950522703694837	0.011970313622216903	0.004112476224746826	0.007196833393306945	0.010353957430443593	0.0029582735515553123	0.010006003602161296	0.021512907744646786	0.003806526924833782	0.011419580774501345	0.004111673039759878	0.019736030590847414	0.006302289306590619	0.017331295593124203	0.0033291164524935084	0.004161395565616885	0.008054123711340205	0.007248711340206185	0.011943863839952225	0.03334328655319996	0.007937452871373577	0.005953089653530183	0.01546674208544712	0.01546674208544712	0.012168657594256393	0.010140547995213661	0.015434242410211295	0.025466499976848637	0.0030132280712327117	0.0030132280712327117	0.016096861112083145	0.010847884662490814	0	0.00725088046405635	0.024515061440872735	0.017364835187284856	0.007811654989243952	0.021031378817195252	0.007836902855991312	0.007277124080563361	0.006819576731604192	0.00966106703643927	0.005243711579728617	0.015731134739185852	0.011248277607491353	0.01406034700936419	0	0.0030421335496628303	0.0012782166321548176	0.0051128665286192705	0.013107177878967348	0.013592628911521694	0.008890996384328137	0.016300160037934917
78	0.010424376361684163	0.013030470452105203	0.005564675440304944	0.019476364041067305	0.01482265749073584	0.015881418740074114	0.006621727211325802	0.003310863605662901	0.009855129594954173	0.01478269439243126	0.011878220825262235	0.017360476590767882	0.004996960182555612	0.012908813804935332	0.010612190754128805	0.014260131325860584	0.019512829685518228	0.019512829685518228	0.016959500712299028	0.009045067046559482	0.009255640798864642	0.008227236265657458	0.012057172921781831	0.029046825675201685	0.01694252573960641	0.0058647204483252965	0.018576362610598158	0.03302464464106339	0.006610841780520053	0.00881445570736007	0.014819644921307686	0.021858976258928835	0.01191651629158013	0.02383303258316026	0.019950522703694837	0.011970313622216903	0.004112476224746826	0.008224952449493651	0.010353957430443593	0.0029582735515553123	0.011006603962377426	0.027016209725835502	0.0069786326955286	0.0139572653910572	0.00575634225566383	0.025492372846511246	0.007090075469914447	0.030723660369629268	0.0033291164524935084	0.0045775351221785734	0.009262242268041237	0.009664948453608248	0.015925151786602965	0.04180352343983279	0.007937452871373577	0.007937452871373577	0.017676276669082426	0.019001997419263606	0.014196767193299126	0.014196767193299126	0.018521090892253553	0.02778163633838033	0.0030132280712327117	0.00376653508904089	0.016796724638695457	0.0132974070056339	0	0.010358400662937643	0.027579444120981827	0.020429217867393948	0.009614344602146403	0.028843033806439208	0.007836902855991312	0.008956460406847215	0.006819576731604192	0.01136596121934032	0.006453798867358299	0.019764759031284787	0.012654312308427772	0.016872416411237028	0	0.005577244841048522	0.0025564332643096353	0.007669299792928906	0.014563530976630388	0.019418041302173852	0.010372829115049494	0.020745658230098985
80	0.012509251634020994	0.015636564542526245	0.008810736113816161	0.022722424714578523	0.02064584436209635	0.0185283218634198	0.006621727211325802	0.006621727211325802	0.011646971339491297	0.020606180062176908	0.013248784766638646	0.020558459120646175	0.004996960182555612	0.018738600684583544	0.014923393247993633	0.016913179014392786	0.021951933396208007	0.021951933396208007	0.018090134093118965	0.009045067046559482	0.010284045332071824	0.00925564079886464	0.012605226236408279	0.03671957207997194	0.018245796950345367	0.007819627264433728	0.02064040290066462	0.04024878565629601	0.007712648743940061	0.011018069634200088	0.016672100536471147	0.025193396366223066	0.015888688388773504	0.02950756415057937	0.023940627244433806	0.011970313622216903	0.004112476224746826	0.013879607258520537	0.010353957430443593	0.00369784193944414	0.01450870522313388	0.034020412247348406	0.00888189615794549	0.0209358980865858	0.008634513383495745	0.03412688623000699	0.007877861633238274	0.03229923269627692	0.004993674678740262	0.007074372461548704	0.010067654639175257	0.01328930412371134	0.019906439733253706	0.05723101423310441	0.007937452871373577	0.007937452871373577	0.023862973503261276	0.023421066586534214	0.01825298639138459	0.01825298639138459	0.021607939374295813	0.03241190906144372	0.004519842106849067	0.006026456142465423	0.019246246981838543	0.018196451691920076	0	0.0145017609281127	0.029622365907721222	0.029111635461036373	0.009614344602146403	0.03425110264514656	0.007836902855991312	0.011195575508559017	0.006819576731604192	0.01136596121934032	0.007260523725778086	0.025008470611013408	0.01546638171030061	0.016872416411237028	0	0.007098311615879937	0.0025564332643096353	0.010225733057238541	0.01699078613940212	0.026699806790489042	0.01185466184577085	0.03260032007586983
82	0.015636564542526245	0.016157783360610453	0.013447965647403616	0.02596848538808974	0.023822128110111168	0.019587083112758072	0.006621727211325802	0.009270418095856122	0.012094931775625577	0.03359703271007104	0.017360476590767882	0.02284273235627353	0.005413373531101913	0.019987840730222448	0.016581548053326258	0.020892750547191086	0.022764967966437934	0.026830140817587562	0.018090134093118965	0.011306333808199353	0.010284045332071824	0.011312449865279007	0.024114345843563662	0.04548842511399509	0.018897432555714844	0.009774534080542161	0.026144510340841854	0.04506487966645109	0.00881445570736007	0.011018069634200088	0.02111799401286345	0.0329737099499096	0.026102845210127904	0.03915426781519186	0.023940627244433806	0.019950522703694837	0.007196833393306945	0.016963964427080657	0.010353957430443593	0.004437410327332968	0.01951170702421453	0.04302581548929357	0.012054001928640309	0.02283916154900269	0.010690349903375685	0.03659389005386292	0.007877861633238274	0.03781373583954371	0.005825953791863639	0.009987349357480524	0.010470360824742267	0.017316365979381444	0.026873693639892504	0.06967253906638798	0.007937452871373577	0.007937452871373577	0.026956321920350697	0.03181729800434836	0.022309205589470055	0.024337315188512787	0.024694787856338073	0.03395533330246485	0.004519842106849067	0.015819447373971736	0.020995905798369317	0.02204570108828778	0	0.016573441060700227	0.03064382680109092	0.041879896628157595	0.018026896129024507	0.03965917148385391	0.007836902855991312	0.012874911834842871	0.010229365097406289	0.013639153463208382	0.00887397344261766	0.02944545733232224	0.016872416411237028	0.01968448581310987	0	0.007098311615879937	0.003834649896464453	0.011503949689393358	0.021359845432391236	0.0325252191811412	0.014818327307213563	0.038527650998755256
84	0.018242658632947283	0.01980631508719991	0.017157749274273576	0.029214546061600958	0.028586553732133403	0.02223398623610376	0.007283899932458383	0.013243454422651603	0.01433473395629698	0.0416603205604881	0.02284273235627353	0.027411278827528234	0.008744680319472321	0.027066867655509565	0.018239702858658884	0.025535584002122438	0.02926924452827734	0.02764317538781749	0.018090134093118965	0.015828867331479094	0.011312449865279007	0.015426067998107735	0.03123903893370747	0.04987285163100666	0.019549068161084322	0.013032712107389549	0.030616597635985857	0.05125700053665047	0.00881445570736007	0.01762891141472014	0.027045851981386527	0.04001304128753075	0.03177737677754701	0.04539625253935288	0.023940627244433806	0.019950522703694837	0.009253071505680357	0.019534262067547423	0.012572662594110077	0.007395683878888281	0.027016209725835502	0.05353211927156294	0.012688423082779272	0.024108003857280617	0.0168578594630155	0.043994901525430695	0.011029006286533583	0.04647938363610582	0.00832279113123377	0.014981024036220786	0.011275773195876288	0.021746134020618556	0.03831989648651339	0.08062108091967751	0.00992181608921697	0.01785926896059055	0.03093348417089424	0.03844590175525427	0.022309205589470055	0.027379479587076885	0.027009924217869765	0.0416724545075705	0.0060264561424654235	0.020339289480820803	0.024845155194737026	0.025545018721349337	0.0020716801325875284	0.017609281126993993	0.03421893992788486	0.04851939243506062	0.022233171892463557	0.04566813686019541	0.010076017957703116	0.015114026936554673	0.01704894182901048	0.019322134072878545	0.01653785959760564	0.03307571919521128	0.016872416411237028	0.021090520514046286	0.0010140445165542768	0.007098311615879937	0.0051128665286192705	0.012782166321548176	0.025243453692826004	0.034467023311358584	0.019263825499377628	0.044454981921640685
86	0.020327533905284117	0.022412409177620947	0.01901264108770856	0.03292432968847092	0.032821598729486506	0.028586553732133403	0.009932590816988704	0.017216490749447085	0.016126575700834103	0.0461399249218309	0.02375644165052447	0.030152406710281056	0.012075987107842728	0.033313067883704084	0.021556012469324135	0.028520262651721164	0.032521382809197044	0.03008227909850727	0.018090134093118965	0.02600456775885851	0.014397663464900554	0.017997079331125692	0.04000789196773062	0.060285864608909154	0.021503974977192752	0.01759416134497589	0.035432691646140935	0.058137134836872016	0.011018069634200088	0.023137946231820188	0.03112125433474614	0.04408844364089036	0.03745190834496612	0.05220569042025581	0.023940627244433806	0.023940627244433806	0.010281190561867064	0.024674857348480954	0.013312230981998905	0.008135252266777108	0.03251951170702422	0.05903542125275165	0.015226107699335127	0.029817794244531293	0.022203034414703345	0.04769540726121459	0.024421371063038648	0.05435724526934409	0.01123576802716559	0.02247153605433118	0.01369201030927835	0.02416237113402062	0.04628247237981487	0.09604857171294914	0.011906179307060364	0.02381235861412073	0.03402683258798367	0.04728404008979549	0.02636542478755552	0.030421643985640984	0.02932506057940146	0.04630272723063389	0.006779763160273601	0.02109259649862898	0.027294677537880112	0.028694404591104734	0.006215040397762586	0.023824321524756577	0.03575113126793941	0.0587340013687576	0.030044826881707506	0.04807172301073201	0.011195575508559017	0.01903247836455033	0.01989043213384556	0.02443681662158169	0.019764759031284787	0.04275641749624873	0.01827845111217345	0.0365569022243469	0.0035491558079399684	0.008619378390711353	0.015338599585857812	0.012782166321548176	0.036894278474130314	0.042234239832228126	0.0237093236915417	0.050382312844526114
88	0.022933627995705155	0.03127312908505249	0.02133125585450229	0.03802528217541712	0.034409740603493916	0.034409740603493916	0.013243454422651603	0.020527354355109988	0.021950061370579747	0.04927564797477087	0.026954424180402763	0.03654837177003764	0.017905773987490943	0.039559268111898596	0.024209060157856337	0.037805929561583865	0.03496048651988683	0.03658655566034667	0.018090134093118965	0.0384415349478778	0.015426067998107735	0.02159649519735083	0.04713258505787443	0.07015082427218519	0.023458881793301186	0.03127850905773491	0.04231282594636247	0.06708130942716002	0.014323490524460115	0.029748788012340238	0.03630813005720383	0.05483268620883844	0.04426134622586905	0.06071748777138447	0.023940627244433806	0.031920836325911736	0.01439366678661389	0.028787333573227776	0.014051799369887734	0.008874820654665936	0.03902341404842906	0.0655393235941565	0.0209358980865858	0.039968532710754706	0.030837547798199087	0.05468525142880638	0.025996943389686306	0.055932817595991745	0.012900326253412345	0.027465210733071444	0.018121778350515462	0.031008376288659795	0.05723101423310441	0.1094854185328954	0.011906179307060364	0.029765448267650912	0.03800399483852722	0.06186696834178848	0.029407589186119618	0.035491917983247814	0.037042181784507106	0.05710669691778179	0.01054629824931449	0.02862566667671076	0.03184379046086013	0.029744199881023198	0.010358400662937643	0.03418272218769422	0.04341208796821214	0.07201299298256367	0.03665468879568316	0.05588337799997596	0.01231513305941492	0.02295092979254599	0.020458730194812574	0.03580277784092201	0.02379838332338373	0.05122702850965649	0.025308624616855544	0.04358707572902899	0.005070222582771383	0.014703645490037012	0.023007899378786716	0.017895032850167445	0.044661494994999856	0.05048690738565201	0.03556398553731255	0.05482781103669018
90	0.023454846813789364	0.036485317265894567	0.02504103948137225	0.04127134284892833	0.035468501852832186	0.03970354685018528	0.015892145307181926	0.02648690884530321	0.032701111837802485	0.05957873800585932	0.030152406710281056	0.043401191476919704	0.019155014033129844	0.04497264164300051	0.028520262651721164	0.0421171320554487	0.03983869394126638	0.0528472470649452	0.020351400854758835	0.044094701851977475	0.016454472531314917	0.025195911063575965	0.05535338477727113	0.08275605050859347	0.026065424214779094	0.04691776358660237	0.04609689981148432	0.07396144372738156	0.015425297487880123	0.0374614367562803	0.04371795251785767	0.06261299979252496	0.04993587779328816	0.06809437880902931	0.039901045407389674	0.033915888596281224	0.015935845370893948	0.039068524135094845	0.014791367757776562	0.009614389042554764	0.048028817290374226	0.07654592755653392	0.023473582703141656	0.04314063848144953	0.03330455162205501	0.06208626290037417	0.030723660369629268	0.06223510690258236	0.014981024036220786	0.03370730408149677	0.021746134020618556	0.03865979381443299	0.06967253906638798	0.12192694336617896	0.011906179307060364	0.04762471722824146	0.045958319339614306	0.072914641259965	0.03447786318372645	0.03752002758229055	0.038585606025528234	0.06019354539982405	0.02184590351643716	0.03239220176575165	0.03464324456730937	0.03534310809392169	0.013465920861818935	0.04972032318210068	0.0556696186886485	0.08937782816984852	0.040860964559122206	0.07030489490319557	0.01343469061027082	0.029108496322253444	0.02273192243868064	0.05228342160896547	0.027832007615482664	0.05929427709385437	0.03093276342060122	0.05202328393464751	0.00608426709932566	0.01926684581453126	0.023007899378786716	0.017895032850167445	0.05000145635309766	0.05825412390652155	0.03852765099875526	0.06520064015173967
92	0.02814581617654724	0.04378238071907348	0.02782337720152472	0.047763464195950775	0.03811540497617787	0.05240868184224458	0.019865181633977408	0.03310863605662901	0.04076439968821954	0.07749715545123054	0.034720953181535764	0.05482255765505647	0.026234040958416964	0.04955318847700982	0.03283146514558599	0.05040790608211182	0.04065172851149631	0.06504276561839409	0.024873934378038576	0.04522533523279741	0.02159649519735083	0.03393734959583702	0.05973781129428271	0.10029375657663978	0.02997523784699596	0.05734393327251401	0.05160100725166156	0.08187359817263634	0.022036139268400177	0.04186866460996033	0.051127774978511516	0.07039331337621152	0.053908049890481535	0.0783085356303837	0.039901045407389674	0.04788125448886761	0.01902020253945407	0.04575129800030844	0.017749641309331873	0.014051799369887734	0.05853512107264358	0.092555533319992	0.028548951936253363	0.048216007714561235	0.039883228485670816	0.06948727437194194	0.03702594967621989	0.07011296853582064	0.01914241960183767	0.03828483920367534	0.02617590206185567	0.046713917525773196	0.0816164029063402	0.13984273912610728	0.0337341747033377	0.04762471722824146	0.04949357467343079	0.08307850034468739	0.03752002758229055	0.045632465978461476	0.042444166628081065	0.07717121205105648	0.02787235965890258	0.033898815801368005	0.03709276691045246	0.04514119746649403	0.015537600994406464	0.062150403977625855	0.062309114495551536	0.0975495153168061	0.045067240322561264	0.08172192911824441	0.016793363262838527	0.031907390199393204	0.028414903048350797	0.05853470027960264	0.0318656319075816	0.06816825053647203	0.032338798121537636	0.06889570034588453	0.007098311615879937	0.01926684581453126	0.023007899378786716	0.020451466114477082	0.051943260483315046	0.06602134042739109	0.04149131646019798	0.06816430561318239
94	0.03127312908505249	0.051079444172252395	0.03385177559518841	0.05657420030976693	0.04235044997353096	0.06246691371095818	0.025162563403038046	0.041054708710219975	0.04479604361342806	0.0900400476629904	0.03746208106428858	0.05984795877343664	0.031647414489518876	0.05455014865956543	0.03581614379518472	0.05637726338130928	0.044716901362645944	0.07642524960161307	0.033919001424598055	0.04861723537525722	0.024167506530368785	0.04524979946111603	0.06850666432830585	0.10796650298141003	0.03323341587384335	0.06451192493157826	0.058481141551883095	0.09150578619294648	0.029748788012340238	0.04517408550022036	0.05742612407006728	0.07891460920596342	0.06071748777138447	0.0924948645489315	0.04389114994812864	0.05386641129997606	0.024160797820387603	0.05037783375314861	0.0184892096972207	0.019968346472998357	0.06353812287372423	0.11156694016409846	0.03552758463178196	0.0539257981018119	0.04440606882940669	0.07894412236338966	0.044903811309458155	0.07799083016905892	0.026632931619948067	0.042030095212730545	0.028994845360824743	0.05436533505154639	0.09754155469294318	0.15974917885936102	0.03571853792118109	0.04762471722824146	0.05965743375815318	0.10473193926431337	0.040562191980854645	0.0567870687731965	0.04861786359216558	0.08951860597922551	0.030132280712327115	0.04067857896164161	0.0398922210169017	0.0524897644959233	0.027967681789931635	0.06629376424280091	0.07201299298256367	0.1133821591640364	0.04686992993546371	0.08652910141931762	0.022391151017118034	0.036945399178244756	0.031824691414152895	0.071037257620877	0.03993288049177947	0.0766388615498798	0.04358707572902899	0.08998622085993083	0.009126400648988491	0.022308979364194088	0.023007899378786716	0.024286116010941536	0.060195928036738934	0.07233220385059759	0.04741864738308339	0.08594629838183866
