"Category"	"Deduplicated reads (remaining)"	"Duplicate reads (removed)"	"Total reads before deduplication"	"PercentageDeduplicated"	"PercentageDuplicate"
"La_01_Lambda"	589097	6302997	6892094	8.54743130317143	91.4525686968286
"La_02_C_Lambda"	636480	10098298	10734778	5.92913984807138	94.0708601519286
"La_03_C_Lambda"	391755	3189286	3581041	10.9396960269374	89.0603039730626
"La_04_C_Lambda"	488981	5824355	6313336	7.74520792177068	92.2547920782293
