"Position (bp)"	"01_BAT_r1_C_1 - nextera_transposase_sequence"	"01_BAT_r1_C_2 - nextera_transposase_sequence"	"01_Blood_r3_C_1 - nextera_transposase_sequence"	"01_Blood_r3_C_2 - nextera_transposase_sequence"	"01_Liver_r2_C_1 - nextera_transposase_sequence"	"01_Liver_r2_C_2 - nextera_transposase_sequence"	"01_scAT_r1_C_1 - nextera_transposase_sequence"	"01_scAT_r1_C_2 - nextera_transposase_sequence"	"02_BAT_r1_C_1 - nextera_transposase_sequence"	"02_BAT_r1_C_2 - nextera_transposase_sequence"	"02_Blood_r3_C_1 - nextera_transposase_sequence"	"02_Blood_r3_C_2 - nextera_transposase_sequence"	"02_Liver_r2_C_1 - nextera_transposase_sequence"	"02_Liver_r2_C_2 - nextera_transposase_sequence"	"02_scAT_r1_C_1 - nextera_transposase_sequence"	"02_scAT_r1_C_2 - nextera_transposase_sequence"	"03_BAT_r1_C_1 - nextera_transposase_sequence"	"03_BAT_r1_C_2 - nextera_transposase_sequence"	"03_Liver_r2_C_1 - nextera_transposase_sequence"	"03_Liver_r2_C_2 - nextera_transposase_sequence"	"04_BAT_r1_C_1 - nextera_transposase_sequence"	"04_BAT_r1_C_2 - nextera_transposase_sequence"	"04_Liver_r2_C_1 - nextera_transposase_sequence"	"04_Liver_r2_C_2 - nextera_transposase_sequence"	"05_BAT_r1_C_1 - nextera_transposase_sequence"	"05_BAT_r1_C_2 - nextera_transposase_sequence"	"05_Blood_r3_C_1 - nextera_transposase_sequence"	"05_Blood_r3_C_2 - nextera_transposase_sequence"	"05_Liver_r2_C_1 - nextera_transposase_sequence"	"05_Liver_r2_C_2 - nextera_transposase_sequence"	"05_scAT_r1_C_1 - nextera_transposase_sequence"	"05_scAT_r1_C_2 - nextera_transposase_sequence"	"06_BAT_r1_C_1 - nextera_transposase_sequence"	"06_BAT_r1_C_2 - nextera_transposase_sequence"	"06_Blood_r3_C_1 - nextera_transposase_sequence"	"06_Blood_r3_C_2 - nextera_transposase_sequence"	"06_Liver_r2_C_1 - nextera_transposase_sequence"	"06_Liver_r2_C_2 - nextera_transposase_sequence"	"06_scAT_r1_C_1 - nextera_transposase_sequence"	"06_scAT_r1_C_2 - nextera_transposase_sequence"	"07_BAT_r1_C_1 - nextera_transposase_sequence"	"07_BAT_r1_C_2 - nextera_transposase_sequence"	"07_Blood_r3_C_1 - nextera_transposase_sequence"	"07_Blood_r3_C_2 - nextera_transposase_sequence"	"07_Liver_r2_C_1 - nextera_transposase_sequence"	"07_Liver_r2_C_2 - nextera_transposase_sequence"	"07_scAT_r1_C_1 - nextera_transposase_sequence"	"07_scAT_r1_C_2 - nextera_transposase_sequence"	"08_BAT_r1_C_1 - nextera_transposase_sequence"	"08_BAT_r1_C_2 - nextera_transposase_sequence"	"08_Blood_r3_C_1 - nextera_transposase_sequence"	"08_Blood_r3_C_2 - nextera_transposase_sequence"	"08_Liver_r2_C_1 - nextera_transposase_sequence"	"08_Liver_r2_C_2 - nextera_transposase_sequence"	"08_scAT_r1_C_1 - nextera_transposase_sequence"	"08_scAT_r1_C_2 - nextera_transposase_sequence"	"09_BAT_r1_C_1 - nextera_transposase_sequence"	"09_BAT_r1_C_2 - nextera_transposase_sequence"	"10_BAT_r1_C_1 - nextera_transposase_sequence"	"10_BAT_r1_C_2 - nextera_transposase_sequence"	"11_BAT_r1_C_1 - nextera_transposase_sequence"	"11_BAT_r1_C_2 - nextera_transposase_sequence"	"11_BAT_r3_C_1 - nextera_transposase_sequence"	"11_BAT_r3_C_2 - nextera_transposase_sequence"	"12_BAT_r1_C_1 - nextera_transposase_sequence"	"12_BAT_r1_C_2 - nextera_transposase_sequence"	"12_BAT_r3_C_1 - nextera_transposase_sequence"	"12_BAT_r3_C_2 - nextera_transposase_sequence"	"13_BAT_r3_C_1 - nextera_transposase_sequence"	"13_BAT_r3_C_2 - nextera_transposase_sequence"	"13_Blood_r2_C_1 - nextera_transposase_sequence"	"13_Blood_r2_C_2 - nextera_transposase_sequence"	"13_scAT_r1_C_1 - nextera_transposase_sequence"	"13_scAT_r1_C_2 - nextera_transposase_sequence"	"14_BAT_r3_C_1 - nextera_transposase_sequence"	"14_BAT_r3_C_2 - nextera_transposase_sequence"	"14_Blood_r2_C_1 - nextera_transposase_sequence"	"14_Blood_r2_C_2 - nextera_transposase_sequence"	"14_scAT_r1_C_1 - nextera_transposase_sequence"	"14_scAT_r1_C_2 - nextera_transposase_sequence"	"15_BAT_r3_C_1 - nextera_transposase_sequence"	"15_BAT_r3_C_2 - nextera_transposase_sequence"	"15_Blood_r2_C_1 - nextera_transposase_sequence"	"15_Blood_r2_C_2 - nextera_transposase_sequence"	"15_Liver_r1_C_1 - nextera_transposase_sequence"	"15_Liver_r1_C_2 - nextera_transposase_sequence"	"15_scAT_r1_C_1 - nextera_transposase_sequence"	"15_scAT_r1_C_2 - nextera_transposase_sequence"	"16_BAT_r3_C_1 - nextera_transposase_sequence"	"16_BAT_r3_C_2 - nextera_transposase_sequence"	"16_Blood_r2_C_1 - nextera_transposase_sequence"	"16_Blood_r2_C_2 - nextera_transposase_sequence"	"16_Liver_r1_C_1 - nextera_transposase_sequence"	"16_Liver_r1_C_2 - nextera_transposase_sequence"	"16_scAT_r1_C_1 - nextera_transposase_sequence"	"16_scAT_r1_C_2 - nextera_transposase_sequence"
32	0.0038762394275569613	0	0.000906470385612502	0.000906470385612502	0.0009375585974123383	0	0.0055865531665281664	0.0006983191458160208	0.0035735344042024763	0	0.00226510827217541	0	0	0	0.002575704240467748	0	0.005770540237977079	0	0.0039799863543325	0	0.00335098183767844	0	0.0021529220534570546	0	0	0	0	0	0.003071253071253071	0	0.005624437556244376	0.0006249375062493751	0	0	0.005815982319413749	0.0029079911597068744	0.005937537109606935	0	0.000886281252492666	0.000886281252492666	0.0030211936736204473	0	0.003455027064378671	0.003455027064378671	0.005940594059405941	0.0009900990099009901	0.003897298392754143	0.0007794596785508285	0.00369187602680302	0	0	0	0	0	0	0	0.003596152117234559	0	0.005215259850322043	0	0	0	0	0	0.005901794145420208	0	0.0025211461130229804	0.0012605730565114902	0.0027959905495519425	0	0.001826617469769481	0	0.002731755289361179	0.0006829388223402947	0	0	0	0	0.002465392058972178	0	0.00862980302474596	0	0.004685816034862471	0	0.003982794328500876	0	0.004045171077026799	0	0	0.0010439176140219014	0	0	0.0038177410426250787	0	0.003000673008088957	0.00128600271775241
34	0.0038762394275569613	0.0003876239427556961	0.0013597055784187531	0.000906470385612502	0.0009375585974123383	0	0.0055865531665281664	0.0006983191458160208	0.0035735344042024763	0	0.00226510827217541	0	0	0	0.002575704240467748	0	0.006347594261774787	0	0.004548555833522857	0	0.00335098183767844	0	0.0021529220534570546	0	0	0	0	0	0.003071253071253071	0	0.005624437556244376	0.0006249375062493751	0	0	0.005815982319413749	0.0029079911597068744	0.005937537109606935	0	0.000886281252492666	0.000886281252492666	0.0030211936736204473	0	0.003455027064378671	0.004030864908441783	0.005940594059405941	0.0009900990099009901	0.003897298392754143	0.0007794596785508285	0.00369187602680302	0	0	0	0	0	0	0	0.003596152117234559	0	0.005215259850322043	0	0	0	0	0.0015628907226806702	0.005901794145420208	0	0.0025211461130229804	0.0012605730565114902	0.0027959905495519425	0	0.001826617469769481	0	0.002731755289361179	0.0006829388223402947	0	0	0	0	0.002465392058972178	0	0.00862980302474596	0	0.004685816034862471	0	0.003982794328500876	0	0.004045171077026799	0	0.0005219588070109507	0.0015658764210328521	0	0	0.0038177410426250787	0	0.003000673008088957	0.0017146702903365469
36	0.0038762394275569613	0.0007752478855113923	0.001812940771225004	0.000906470385612502	0.0009375585974123383	0	0.0055865531665281664	0.0006983191458160208	0.0035735344042024763	0	0.00226510827217541	0	0	0	0.0030049882805457057	0	0.008078756333167911	0	0.004548555833522857	0.0005685694791903571	0.00335098183767844	0	0.0021529220534570546	0	0	0	0	0	0.003071253071253071	0	0.005624437556244376	0.0012498750124987502	0	0	0.005815982319413749	0.0029079911597068744	0.005937537109606935	0	0.000886281252492666	0.000886281252492666	0.0030211936736204473	0	0.003455027064378671	0.005758378440631118	0.005940594059405941	0.0009900990099009901	0.003897298392754143	0.0007794596785508285	0.00369187602680302	0	0	0	0	0	0	0	0.003596152117234559	0	0.005215259850322043	0	0	0	0	0.0031257814453613405	0.005901794145420208	0	0.0025211461130229804	0.0012605730565114902	0.0027959905495519425	0	0.001826617469769481	0	0.002731755289361179	0.0006829388223402947	0	0	0	0	0.002465392058972178	0	0.00862980302474596	0	0.004685816034862471	0	0.003982794328500876	0	0.004045171077026799	0	0.0010439176140219014	0.0020878352280438027	0	0	0.0038177410426250787	0	0.003000673008088957	0.0017146702903365469
38	0.0038762394275569613	0.0007752478855113923	0.001812940771225004	0.000906470385612502	0.0009375585974123383	0	0.0055865531665281664	0.0010474787187240312	0.0035735344042024763	0	0.002831385340219262	0	0	0	0.003434272320623664	0.000858568080155916	0.008078756333167911	0.001154108047595416	0.004548555833522857	0.0011371389583807142	0.00335098183767844	0	0.0021529220534570546	0	0	0	0	0	0.003071253071253071	0	0.005624437556244376	0.0012498750124987502	0	0	0.005815982319413749	0.0029079911597068744	0.005937537109606935	0	0.000886281252492666	0.000886281252492666	0.0030211936736204473	0	0.003455027064378671	0.005758378440631118	0.005940594059405941	0.0009900990099009901	0.003897298392754143	0.0007794596785508285	0.00369187602680302	0	0	0	0	0	0	0	0.003596152117234559	0	0.005215259850322043	0	0	0	0	0.0031257814453613405	0.005901794145420208	0	0.0025211461130229804	0.0012605730565114902	0.005591981099103885	0	0.001826617469769481	0	0.002731755289361179	0.0006829388223402947	0	0	0	0	0.002465392058972178	0	0.00862980302474596	0	0.004685816034862471	0	0.003982794328500876	0	0.004045171077026799	0	0.0010439176140219014	0.0020878352280438027	0	0	0.0038177410426250787	0	0.003000673008088957	0.0017146702903365469
40	0.0038762394275569613	0.0007752478855113923	0.001812940771225004	0.000906470385612502	0.0009375585974123383	0	0.0055865531665281664	0.0013966382916320416	0.0035735344042024763	0	0.003397662408263115	0	0	0	0.003434272320623664	0.000858568080155916	0.008078756333167911	0.001154108047595416	0.004548555833522857	0.0011371389583807142	0.00335098183767844	0	0.0021529220534570546	0	0	0	0	0	0.003071253071253071	0	0.006561843815618439	0.0012498750124987502	0	0	0.005815982319413749	0.0029079911597068744	0.005937537109606935	0	0.000886281252492666	0.002215703131231665	0.0030211936736204473	0	0.003455027064378671	0.005758378440631118	0.005940594059405941	0.0009900990099009901	0.003897298392754143	0.0007794596785508285	0.00369187602680302	0	0	0	0	0	0	0.0019393751333320404	0.003596152117234559	0	0.005215259850322043	0	0	0	0	0.006251562890722681	0.005901794145420208	0	0.0025211461130229804	0.0012605730565114902	0.005591981099103885	0	0.001826617469769481	0	0.002731755289361179	0.0006829388223402947	0	0	0	0	0.002465392058972178	0	0.00862980302474596	0.001078725378093245	0.004685816034862471	0.00039048466957187263	0.003982794328500876	0	0.004045171077026799	0.0003370975897522333	0.0020878352280438027	0.0020878352280438027	0	0	0.0038177410426250787	0	0.003000673008088957	0.0017146702903365469
42	0.004263863370312657	0.0007752478855113923	0.001812940771225004	0.000906470385612502	0.0009375585974123383	0	0.0055865531665281664	0.0013966382916320416	0.0035735344042024763	0	0.003397662408263115	0	0	0	0.003434272320623664	0.000858568080155916	0.008078756333167911	0.001154108047595416	0.004548555833522857	0.0011371389583807142	0.00335098183767844	0	0.0021529220534570546	0	0	0	0.0012379608309193097	0	0.003071253071253071	0	0.008124187581241876	0.0012498750124987502	0	0	0.005815982319413749	0.0029079911597068744	0.005937537109606935	0	0.000886281252492666	0.002658843757477998	0.0030211936736204473	0	0.003455027064378671	0.006910054128757342	0.005940594059405941	0.0009900990099009901	0.003897298392754143	0.0007794596785508285	0.00369187602680302	0	0	0	0.001594794590456749	0	0	0.0019393751333320404	0.003596152117234559	0	0.005215259850322043	0	0	0	0	0.006251562890722681	0.005901794145420208	0	0.0025211461130229804	0.0012605730565114902	0.005591981099103885	0	0.001826617469769481	0	0.002731755289361179	0.0006829388223402947	0	0	0	0	0.002465392058972178	0.0018490440442291336	0.00862980302474596	0.00215745075618649	0.004685816034862471	0.0007809693391437453	0.003982794328500876	0	0.004045171077026799	0.0006741951795044666	0.0031317528420657043	0.0020878352280438027	0	0	0.0038177410426250787	0	0.0034293405806730937	0.0021433378629206836
44	0.0046514873130683535	0.0007752478855113923	0.001812940771225004	0.000906470385612502	0.0009375585974123383	0	0.006284872312344187	0.0013966382916320416	0.0035735344042024763	0	0.006229047748482377	0.001132554136087705	0	0	0.003863556360701622	0.000858568080155916	0.008078756333167911	0.001154108047595416	0.004548555833522857	0.0011371389583807142	0.00335098183767844	0	0.0021529220534570546	0	0	0	0.0012379608309193097	0	0.003071253071253071	0.0010237510237510238	0.008124187581241876	0.0012498750124987502	0	0	0.007269977899267185	0.0029079911597068744	0.005937537109606935	0	0.000886281252492666	0.002658843757477998	0.0030211936736204473	0	0.003455027064378671	0.006910054128757342	0.005940594059405941	0.0014851485148514852	0.004287028232029557	0.0007794596785508285	0.00369187602680302	0	0	0	0.003189589180913498	0	0	0.0019393751333320404	0.003596152117234559	0	0.005215259850322043	0	0	0	0	0.006251562890722681	0.005901794145420208	0	0.0025211461130229804	0.0012605730565114902	0.005591981099103885	0	0.001826617469769481	0	0.002731755289361179	0.0006829388223402947	0	0	0	0	0.002465392058972178	0.0030817400737152226	0.00862980302474596	0.00215745075618649	0.004685816034862471	0.0007809693391437453	0.003982794328500876	0	0.004045171077026799	0.0006741951795044666	0.0031317528420657043	0.0020878352280438027	0	0	0.0038177410426250787	0	0.0034293405806730937	0.00257200543550482
46	0.0046514873130683535	0.0007752478855113923	0.001812940771225004	0.0013597055784187531	0.0009375585974123383	0	0.006284872312344187	0.0013966382916320416	0.0035735344042024763	0	0.010192987224789344	0.001132554136087705	0.0006731649523399214	0	0.006009976561091411	0.000858568080155916	0.008078756333167911	0.001154108047595416	0.004548555833522857	0.0017057084375710712	0.00335098183767844	0	0.0021529220534570546	0	0	0	0.0012379608309193097	0	0.003071253071253071	0.0010237510237510238	0.008124187581241876	0.0012498750124987502	0.0032912492265564316	0	0.008723973479120623	0.0029079911597068744	0.005937537109606935	0	0.000886281252492666	0.002658843757477998	0.0030211936736204473	0	0.003455027064378671	0.006910054128757342	0.005940594059405941	0.0019801980198019802	0.004676758071304971	0.001558919357101657	0.00369187602680302	0	0	0	0.003189589180913498	0	0	0.0019393751333320404	0.003596152117234559	0	0.005867167331612298	0	0	0	0.0031257814453613405	0.006251562890722681	0.005901794145420208	0	0.0031514326412787255	0.0012605730565114902	0.005591981099103885	0	0.001826617469769481	0	0.0030732247005313264	0.0006829388223402947	0	0	0	0	0.002465392058972178	0.003698088088458267	0.00862980302474596	0.00215745075618649	0.005076300704434344	0.0015619386782874905	0.003982794328500876	0	0.004045171077026799	0.0020225855385133996	0.004175670456087605	0.0020878352280438027	0	0	0.0038177410426250787	0	0.0034293405806730937	0.00257200543550482
48	0.0046514873130683535	0.0007752478855113923	0.001812940771225004	0.001812940771225004	0.0009375585974123383	0	0.006284872312344187	0.0013966382916320416	0.0035735344042024763	0	0.01132554136087705	0.00226510827217541	0.0013463299046798428	0	0.007727112721403244	0.000858568080155916	0.008078756333167911	0.001154108047595416	0.004548555833522857	0.0022742779167614284	0.00335098183767844	0	0.0021529220534570546	0	0	0	0.0012379608309193097	0	0.003071253071253071	0.0010237510237510238	0.008124187581241876	0.0015623437656234378	0.006582498453112863	0	0.008723973479120623	0.0029079911597068744	0.005937537109606935	0	0.000886281252492666	0.003988265636216997	0.0030211936736204473	0	0.004606702752504894	0.006910054128757342	0.005940594059405941	0.0019801980198019802	0.004676758071304971	0.001558919357101657	0.00369187602680302	0	0	0	0.003189589180913498	0	0	0.002909062699998061	0.003596152117234559	0	0.006519074812902553	0	0	0	0.006251562890722681	0.006251562890722681	0.005901794145420208	0	0.0037817191695344705	0.0012605730565114902	0.005591981099103885	0.0006989976373879856	0.001826617469769481	0	0.003414694111701474	0.0013658776446805894	0	0	0	0	0.0030817400737152226	0.004314436103201312	0.010247891091885827	0.00215745075618649	0.005466785374006217	0.0015619386782874905	0.003982794328500876	0	0.004382268666779033	0.0020225855385133996	0.005219588070109507	0.0020878352280438027	0	0	0.0038177410426250787	0	0.0034293405806730937	0.003000673008088957
50	0.0046514873130683535	0.0007752478855113923	0.001812940771225004	0.001812940771225004	0.0009375585974123383	0	0.006284872312344187	0.0013966382916320416	0.0035735344042024763	0	0.01132554136087705	0.00226510827217541	0.0013463299046798428	0	0.007727112721403244	0.000858568080155916	0.008078756333167911	0.001154108047595416	0.004548555833522857	0.0022742779167614284	0.00335098183767844	0	0.0021529220534570546	0	0	0	0.0012379608309193097	0	0.003071253071253071	0.0010237510237510238	0.008124187581241876	0.0018748125187481252	0.006582498453112863	0	0.008723973479120623	0.0029079911597068744	0.005937537109606935	0	0.000886281252492666	0.004874546888709664	0.0030211936736204473	0	0.00633421628469423	0.006910054128757342	0.006435643564356436	0.0019801980198019802	0.004676758071304971	0.001558919357101657	0.00369187602680302	0	0	0	0.003189589180913498	0	0	0.003878750266664081	0.003596152117234559	0	0.006519074812902553	0	0	0	0.006251562890722681	0.006251562890722681	0.005901794145420208	0	0.0037817191695344705	0.0025211461130229804	0.005591981099103885	0.0013979952747759713	0.001826617469769481	0	0.003414694111701474	0.0013658776446805894	0	0	0	0	0.003698088088458267	0.004930784117944356	0.01078725378093245	0.00215745075618649	0.005857270043578089	0.0015619386782874905	0.003982794328500876	0	0.005056463846283499	0.0020225855385133996	0.005219588070109507	0.0020878352280438027	0	0	0.0038177410426250787	0	0.0034293405806730937	0.0032150067943810257
52	0.0046514873130683535	0.0007752478855113923	0.001812940771225004	0.001812940771225004	0.0009375585974123383	0	0.006284872312344187	0.0013966382916320416	0.0035735344042024763	0	0.011891818428920902	0.00226510827217541	0.0013463299046798428	0	0.007727112721403244	0.000858568080155916	0.008078756333167911	0.001154108047595416	0.004548555833522857	0.0022742779167614284	0.00335098183767844	0	0.0021529220534570546	0.0005382305133642636	0	0	0.003094902077298274	0	0.003071253071253071	0.0010237510237510238	0.008124187581241876	0.0018748125187481252	0.006582498453112863	0	0.008723973479120623	0.0029079911597068744	0.005937537109606935	0	0.000886281252492666	0.005760828141202329	0.0030211936736204473	0	0.006910054128757342	0.006910054128757342	0.006930693069306931	0.0019801980198019802	0.004676758071304971	0.001558919357101657	0.00369187602680302	0	0	0	0.003189589180913498	0	0	0.003878750266664081	0.003596152117234559	0	0.006519074812902553	0	0	0	0.006251562890722681	0.006251562890722681	0.005901794145420208	0	0.0037817191695344705	0.0025211461130229804	0.005591981099103885	0.0013979952747759713	0.001826617469769481	0	0.003414694111701474	0.0013658776446805894	0	0	0	0	0.003698088088458267	0.004930784117944356	0.011865979159025696	0.00215745075618649	0.006247754713149962	0.0023429080174312356	0.003982794328500876	0	0.0053935614360357325	0.0020225855385133996	0.005219588070109507	0.0020878352280438027	0	0	0.0038177410426250787	0	0.0034293405806730937	0.003643674366965162
54	0.0046514873130683535	0.0011628718282670884	0.0027194111568375062	0.002266175964031255	0.0009375585974123383	0	0.006284872312344187	0.0013966382916320416	0.004466918005253096	0.0008933836010506191	0.012458095496964755	0.00226510827217541	0.0013463299046798428	0	0.007727112721403244	0.000858568080155916	0.008078756333167911	0.001154108047595416	0.004548555833522857	0.002842847395951785	0.00502647275651766	0	0.0021529220534570546	0.0010764610267285273	0	0	0.011141647478273788	0	0.003071253071253071	0.0010237510237510238	0.008124187581241876	0.0018748125187481252	0.006582498453112863	0	0.01017796905897406	0.0029079911597068744	0.005937537109606935	0	0.003545125009970664	0.007090250019941328	0.0030211936736204473	0	0.006910054128757342	0.006910054128757342	0.006930693069306931	0.0029702970297029703	0.0054562177498558	0.001558919357101657	0.00369187602680302	0.000922969006700755	0	0	0.003189589180913498	0	0	0.003878750266664081	0.003596152117234559	0	0.007170982294192808	0	0	0	0.006251562890722681	0.006251562890722681	0.005901794145420208	0	0.0037817191695344705	0.0025211461130229804	0.007688974011267842	0.0013979952747759713	0.001826617469769481	0	0.003414694111701474	0.002390285878191032	0	0	0	0	0.003698088088458267	0.004930784117944356	0.011865979159025696	0.00215745075618649	0.007809693391437452	0.003123877356574981	0.003982794328500876	0	0.0053935614360357325	0.0020225855385133996	0.005219588070109507	0.0020878352280438027	0	0	0.0038177410426250787	0	0.0034293405806730937	0.0038580081532572307
56	0.0046514873130683535	0.0015504957710227845	0.003625881542450008	0.0027194111568375062	0.0009375585974123383	0	0.006284872312344187	0.0013966382916320416	0.004466918005253096	0.0008933836010506191	0.01359064963305246	0.00226510827217541	0.0013463299046798428	0	0.007727112721403244	0.000858568080155916	0.008078756333167911	0.001154108047595416	0.004548555833522857	0.0034114168751421424	0.00502647275651766	0.00083774545941961	0.0021529220534570546	0.0010764610267285273	0	0	0.011141647478273788	0	0.003071253071253071	0.0020475020475020475	0.008124187581241876	0.003124687531246875	0.006582498453112863	0	0.011631964638827498	0.0029079911597068744	0.005937537109606935	0	0.003545125009970664	0.007090250019941328	0.0030211936736204473	0.0007552984184051118	0.008061729816883566	0.006910054128757342	0.009900990099009901	0.0029702970297029703	0.006235677428406628	0.001558919357101657	0.00369187602680302	0.00184593801340151	0	0	0.003189589180913498	0	0.0019393751333320404	0.003878750266664081	0.003596152117234559	0	0.007822889775483063	0	0.0016986003533088735	0	0.006251562890722681	0.006251562890722681	0.005901794145420208	0	0.0037817191695344705	0.0025211461130229804	0.009086969286043814	0.0027959905495519425	0.001826617469769481	0	0.0037561635228716213	0.003414694111701474	0	0	0.0012152883271556176	0	0.003698088088458267	0.006163480147430445	0.012944704537118941	0.0026968134452331127	0.007809693391437452	0.0042953313652905984	0.003982794328500876	0	0.0053935614360357325	0.0020225855385133996	0.006263505684131409	0.0020878352280438027	0	0	0.005726611563937618	0	0.0038580081532572307	0.004072341939549299
58	0.0046514873130683535	0.002713367599289873	0.003625881542450008	0.0027194111568375062	0.0009375585974123383	0	0.006284872312344187	0.0020949574374480623	0.004466918005253096	0.0008933836010506191	0.01585575790522787	0.002831385340219262	0.0013463299046798428	0	0.007727112721403244	0.000858568080155916	0.008078756333167911	0.001154108047595416	0.004548555833522857	0.0034114168751421424	0.00502647275651766	0.00167549091883922	0.0021529220534570546	0.004305844106914109	0	0	0.011760627893733442	0	0.003071253071253071	0.0020475020475020475	0.008436656334366563	0.003124687531246875	0.006582498453112863	0	0.011631964638827498	0.0029079911597068744	0.005937537109606935	0	0.003545125009970664	0.007090250019941328	0.0030211936736204473	0.0015105968368102237	0.008061729816883566	0.006910054128757342	0.01287128712871287	0.0029702970297029703	0.006235677428406628	0.001558919357101657	0.00369187602680302	0.00184593801340151	0	0	0.003189589180913498	0	0.003878750266664081	0.003878750266664081	0.003596152117234559	0	0.007822889775483063	0	0.0016986003533088735	0	0.006251562890722681	0.006251562890722681	0.005901794145420208	0	0.0037817191695344705	0.005042292226045961	0.009785966923431798	0.003494988186939928	0.001826617469769481	0	0.004439102345211917	0.003414694111701474	0	0	0.0024305766543112352	0	0.003698088088458267	0.006163480147430445	0.012944704537118941	0.0032361761342797352	0.007809693391437452	0.004685816034862471	0.003982794328500876	0	0.0053935614360357325	0.0020225855385133996	0.00730742329815331	0.003653711649076655	0	0	0.0076354820852501575	0	0.004072341939549299	0.004929677084717572
60	0.00503911125582405	0.003488615484801265	0.003625881542450008	0.0027194111568375062	0.0009375585974123383	0	0.006284872312344187	0.0020949574374480623	0.004466918005253096	0.0008933836010506191	0.01585575790522787	0.003397662408263115	0.0013463299046798428	0.0013463299046798428	0.007727112721403244	0.000858568080155916	0.008078756333167911	0.001154108047595416	0.004548555833522857	0.0034114168751421424	0.00502647275651766	0.00167549091883922	0.0021529220534570546	0.0053823051336426364	0	0	0.012379608309193097	0	0.003071253071253071	0.0020475020475020475	0.00874912508749125	0.003124687531246875	0.006582498453112863	0.0013164996906225726	0.011631964638827498	0.0029079911597068744	0.005937537109606935	0	0.003545125009970664	0.007090250019941328	0.0030211936736204473	0.0015105968368102237	0.008061729816883566	0.008061729816883566	0.01287128712871287	0.0029702970297029703	0.006235677428406628	0.0019486491963770713	0.00369187602680302	0.00184593801340151	0	0.0008517452259680084	0.003189589180913498	0	0.005818125399996122	0.003878750266664081	0.003596152117234559	0	0.007822889775483063	0	0.0016986003533088735	0	0.006251562890722681	0.007814453613403351	0.005901794145420208	0	0.0037817191695344705	0.005042292226045961	0.009785966923431798	0.004193985824327914	0.001826617469769481	0	0.004780571756382064	0.003414694111701474	0	0	0.0024305766543112352	0	0.003698088088458267	0.006163480147430445	0.012944704537118941	0.0032361761342797352	0.007809693391437452	0.005076300704434344	0.003982794328500876	0	0.0053935614360357325	0.0020225855385133996	0.00730742329815331	0.004175670456087605	0	0.00209819555182543	0.0076354820852501575	0	0.00514401087100964	0.006001346016177914
62	0.0058143591413354415	0.0038762394275569613	0.003625881542450008	0.004079116735256259	0.0014063378961185074	0.0004687792987061691	0.006284872312344187	0.0020949574374480623	0.005360301606303714	0.0008933836010506191	0.019253420313490983	0.003397662408263115	0.0013463299046798428	0.0013463299046798428	0.007727112721403244	0.000858568080155916	0.008078756333167911	0.002308216095190832	0.004548555833522857	0.004548555833522857	0.00502647275651766	0.00167549091883922	0.0021529220534570546	0.0053823051336426364	0	0	0.013617569140112407	0	0.003071253071253071	0.0020475020475020475	0.009999000099990002	0.003124687531246875	0.006582498453112863	0.0013164996906225726	0.011631964638827498	0.005815982319413749	0.005937537109606935	0	0.004874546888709664	0.007090250019941328	0.0030211936736204473	0.0030211936736204473	0.008637567660946678	0.00921340550500979	0.01287128712871287	0.0029702970297029703	0.006235677428406628	0.0027281088749279	0.00369187602680302	0.00553781404020453	0.0017034904519360168	0.0017034904519360168	0.003189589180913498	0	0.005818125399996122	0.003878750266664081	0.003596152117234559	0	0.007822889775483063	0	0.0016986003533088735	0	0.006251562890722681	0.009377344336084021	0.005901794145420208	0.0009836323575700347	0.0037817191695344705	0.005042292226045961	0.009785966923431798	0.004193985824327914	0.001826617469769481	0.0009133087348847405	0.005463510578722358	0.003414694111701474	0	0	0.0024305766543112352	0.0012152883271556176	0.003698088088458267	0.006163480147430445	0.012944704537118941	0.0032361761342797352	0.007809693391437452	0.006638239382721834	0.003982794328500876	0	0.0053935614360357325	0.0020225855385133996	0.00730742329815331	0.006263505684131409	0	0.00209819555182543	0.0076354820852501575	0	0.00514401087100964	0.006858681161346188
