"Position (bp)"	"01_Liver_r3_C_1 - nextera_transposase_sequence"	"01_Liver_r3_C_2 - nextera_transposase_sequence"	"01_scAT_r2_C_1 - nextera_transposase_sequence"	"01_scAT_r2_C_2 - nextera_transposase_sequence"	"02_BAT_r2_C_1 - nextera_transposase_sequence"	"02_BAT_r2_C_2 - nextera_transposase_sequence"	"02_Liver_r3_C_1 - nextera_transposase_sequence"	"02_Liver_r3_C_2 - nextera_transposase_sequence"	"02_scAT_r2_C_1 - nextera_transposase_sequence"	"02_scAT_r2_C_2 - nextera_transposase_sequence"	"03_BAT_r2_C_1 - nextera_transposase_sequence"	"03_BAT_r2_C_2 - nextera_transposase_sequence"	"03_Liver_r3_C_1 - nextera_transposase_sequence"	"03_Liver_r3_C_2 - nextera_transposase_sequence"	"03_scAT_r2_C_1 - nextera_transposase_sequence"	"03_scAT_r2_C_2 - nextera_transposase_sequence"	"04_BAT_r2_C_1 - nextera_transposase_sequence"	"04_BAT_r2_C_2 - nextera_transposase_sequence"	"04_Blood_r1_C_1 - nextera_transposase_sequence"	"04_Blood_r1_C_2 - nextera_transposase_sequence"	"04_Liver_r3_C_1 - nextera_transposase_sequence"	"04_Liver_r3_C_2 - nextera_transposase_sequence"	"04_scAT_r2_C_1 - nextera_transposase_sequence"	"04_scAT_r2_C_2 - nextera_transposase_sequence"	"05_Blood_r2_C_1 - nextera_transposase_sequence"	"05_Blood_r2_C_2 - nextera_transposase_sequence"	"05_Liver_r1_C_1 - nextera_transposase_sequence"	"05_Liver_r1_C_2 - nextera_transposase_sequence"	"05_scAT_r2_C_1 - nextera_transposase_sequence"	"05_scAT_r2_C_2 - nextera_transposase_sequence"	"06_Liver_r1_C_1 - nextera_transposase_sequence"	"06_Liver_r1_C_2 - nextera_transposase_sequence"	"06_Liver_r3_C_1 - nextera_transposase_sequence"	"06_Liver_r3_C_2 - nextera_transposase_sequence"	"06_scAT_r2_C_1 - nextera_transposase_sequence"	"06_scAT_r2_C_2 - nextera_transposase_sequence"	"07_Liver_r1_C_1 - nextera_transposase_sequence"	"07_Liver_r1_C_2 - nextera_transposase_sequence"	"07_Liver_r3_C_1 - nextera_transposase_sequence"	"07_Liver_r3_C_2 - nextera_transposase_sequence"	"07_scAT_r2_C_1 - nextera_transposase_sequence"	"07_scAT_r2_C_2 - nextera_transposase_sequence"	"08_Liver_r3_C_1 - nextera_transposase_sequence"	"08_Liver_r3_C_2 - nextera_transposase_sequence"	"08_scAT_r2_C_1 - nextera_transposase_sequence"	"08_scAT_r2_C_2 - nextera_transposase_sequence"	"09_BAT_r2_C_1 - nextera_transposase_sequence"	"09_BAT_r2_C_2 - nextera_transposase_sequence"	"09_Blood_r1_C_1 - nextera_transposase_sequence"	"09_Blood_r1_C_2 - nextera_transposase_sequence"	"09_Liver_r3_C_1 - nextera_transposase_sequence"	"09_Liver_r3_C_2 - nextera_transposase_sequence"	"09_scAT_r2_C_1 - nextera_transposase_sequence"	"09_scAT_r2_C_2 - nextera_transposase_sequence"	"10_BAT_r2_C_1 - nextera_transposase_sequence"	"10_BAT_r2_C_2 - nextera_transposase_sequence"	"10_Blood_r1_C_1 - nextera_transposase_sequence"	"10_Blood_r1_C_2 - nextera_transposase_sequence"	"10_Liver_r3_C_1 - nextera_transposase_sequence"	"10_Liver_r3_C_2 - nextera_transposase_sequence"	"10_scAT_r2_C_1 - nextera_transposase_sequence"	"10_scAT_r2_C_2 - nextera_transposase_sequence"	"11_BAT_r2_C_1 - nextera_transposase_sequence"	"11_BAT_r2_C_2 - nextera_transposase_sequence"	"11_Blood_r1_C_1 - nextera_transposase_sequence"	"11_Blood_r1_C_2 - nextera_transposase_sequence"	"11_Liver_r3_C_1 - nextera_transposase_sequence"	"11_Liver_r3_C_2 - nextera_transposase_sequence"	"11_scAT_r2_C_1 - nextera_transposase_sequence"	"11_scAT_r2_C_2 - nextera_transposase_sequence"	"12_BAT_r2_C_1 - nextera_transposase_sequence"	"12_BAT_r2_C_2 - nextera_transposase_sequence"	"12_Blood_r1_C_1 - nextera_transposase_sequence"	"12_Blood_r1_C_2 - nextera_transposase_sequence"	"12_Liver_r3_C_1 - nextera_transposase_sequence"	"12_Liver_r3_C_2 - nextera_transposase_sequence"	"13_BAT_r2_C_1 - nextera_transposase_sequence"	"13_BAT_r2_C_2 - nextera_transposase_sequence"	"13_Blood_r1_C_1 - nextera_transposase_sequence"	"13_Blood_r1_C_2 - nextera_transposase_sequence"	"13_Liver_r3_C_1 - nextera_transposase_sequence"	"13_Liver_r3_C_2 - nextera_transposase_sequence"	"14_BAT_r2_C_1 - nextera_transposase_sequence"	"14_BAT_r2_C_2 - nextera_transposase_sequence"	"14_Blood_r1_C_1 - nextera_transposase_sequence"	"14_Blood_r1_C_2 - nextera_transposase_sequence"	"15_BAT_r2_C_1 - nextera_transposase_sequence"	"15_BAT_r2_C_2 - nextera_transposase_sequence"	"15_Blood_r1_C_1 - nextera_transposase_sequence"	"15_Blood_r1_C_2 - nextera_transposase_sequence"	"16_BAT_r2_C_1 - nextera_transposase_sequence"	"16_BAT_r2_C_2 - nextera_transposase_sequence"	"16_Blood_r1_C_1 - nextera_transposase_sequence"	"16_Blood_r1_C_2 - nextera_transposase_sequence"	"16_scAT_r2_C_1 - nextera_transposase_sequence"	"16_scAT_r2_C_2 - nextera_transposase_sequence"
12	0.0021145374449339205	0	0.0017904782367370324	0	0	0	0.0024059667976581924	0	0.007903264048051846	0	0.009466260669264629	0	0.0032340480579541413	0	0.0015900273484703938	0	0	0	0	0	0.0009092231597323247	0	0.005296610169491525	0	0.005978805135793612	0	0	0	0.0013618412093149939	0	0.004688782088852421	0	0.005846517229686276	0	0.0009957679860592482	0	0.0076511094108645756	0	0.006074319296593826	0	0.0047140015273364946	0	0.009070660444865502	0	0.004278733837082931	0	0.004812134277794888	0	0.005438526521881005	0	0	0	0.008678596844462188	0	0.00568692348813139	0	0.006056018168054504	0	0.001864002385923054	0	0.0061608221001010375	0	0.006069802731411229	0	0.003973246804847361	0	0	0	0.005445792580652188	0	0.001219422969051045	0	0.006894887440962527	0	0.0030999101026070244	0	0	0	0.0027151041242431647	0	0.0025388443180664163	0	0	0	0.006803338171262699	0	0.006040379939898219	0	0.0028633604398121634	0	0.006571165724799579	0	0.0021532697401003423	0	0.005137003893848952	0
14	0.0021145374449339205	0	0.0017904782367370324	0	0	0	0.0024059667976581924	0	0.007903264048051846	0	0.009466260669264629	0	0.0032340480579541413	0	0.0015900273484703938	0	0	0	0.0036636746656896865	0	0.0009092231597323247	0	0.005296610169491525	0	0.005978805135793612	0	0	0	0.0013618412093149939	0	0.004688782088852421	0	0.005846517229686276	0	0.0009957679860592482	0	0.0076511094108645756	0	0.006074319296593826	0	0.0047140015273364946	0	0.009070660444865502	0	0.004278733837082931	0	0.004812134277794888	0	0.005438526521881005	0	0	0	0.008678596844462188	0	0.00568692348813139	0	0.006056018168054504	0	0.001864002385923054	0	0.0061608221001010375	0	0.006069802731411229	0	0.003973246804847361	0	0	0	0.005445792580652188	0	0.001219422969051045	0	0.006894887440962527	0	0.004133213470142699	0	0	0	0.0027151041242431647	0	0.0025388443180664163	0	0	0	0.006803338171262699	0	0.006040379939898219	0	0.0028633604398121634	0	0.006571165724799579	0	0.0021532697401003423	0	0.005137003893848952	0
16	0.0021145374449339205	0	0.0017904782367370324	0	0	0	0.0024059667976581924	0	0.007903264048051846	0	0.009466260669264629	0	0.0032340480579541413	0	0.0015900273484703938	0	0	0	0.0036636746656896865	0	0.0009092231597323247	0	0.005296610169491525	0	0.005978805135793612	0	0	0	0.0013618412093149939	0	0.004688782088852421	0	0.005846517229686276	0	0.0009957679860592482	0	0.0076511094108645756	0	0.006074319296593826	0	0.0047140015273364946	0	0.009070660444865502	0	0.004278733837082931	0	0.004812134277794888	0	0.005438526521881005	0	0	0	0.008678596844462188	0	0.00568692348813139	0	0.006056018168054504	0	0.001864002385923054	0	0.0061608221001010375	0	0.006069802731411229	0	0.003973246804847361	0	0	0	0.005445792580652188	0	0.001219422969051045	0	0.006894887440962527	0	0.004133213470142699	0	0	0	0.0027151041242431647	0	0.0025388443180664163	0	0	0	0.006803338171262699	0	0.006040379939898219	0	0.0028633604398121634	0	0.006571165724799579	0	0.0021532697401003423	0	0.005650704283233847	0
18	0.0021145374449339205	0	0.0017904782367370324	0	0	0	0.0024059667976581924	0	0.007903264048051846	0	0.009466260669264629	0	0.0032340480579541413	0	0.0015900273484703938	0	0	0	0.0036636746656896865	0	0.0009092231597323247	0	0.005296610169491525	0	0.005978805135793612	0	0	0	0.0013618412093149939	0	0.004688782088852421	0	0.005846517229686276	0	0.0009957679860592482	0	0.0076511094108645756	0	0.006074319296593826	0	0.0047140015273364946	0	0.009070660444865502	0	0.004278733837082931	0	0.004812134277794888	0	0.005438526521881005	0	0	0	0.008678596844462188	0	0.00568692348813139	0	0.006056018168054504	0	0.001864002385923054	0	0.0061608221001010375	0	0.006069802731411229	0	0.003973246804847361	0	0	0	0.005445792580652188	0	0.001219422969051045	0	0.006894887440962527	0	0.004133213470142699	0	0	0	0.0027151041242431647	0	0.0025388443180664163	0	0	0	0.006803338171262699	0	0.006040379939898219	0	0.0028633604398121634	0	0.006571165724799579	0.0005475971437332983	0.0021532697401003423	0	0.006164404672618742	0
20	0.0021145374449339205	0	0.0017904782367370324	0	0	0	0.0024059667976581924	0	0.007903264048051846	0	0.009466260669264629	0	0.0032340480579541413	0	0.0015900273484703938	0	0	0	0.0036636746656896865	0	0.0009092231597323247	0	0.005296610169491525	0	0.005978805135793612	0	0	0	0.0013618412093149939	0	0.004688782088852421	0	0.005846517229686276	0	0.0009957679860592482	0	0.0076511094108645756	0	0.006074319296593826	0	0.0047140015273364946	0	0.009070660444865502	0	0.004278733837082931	0	0.004812134277794888	0	0.005438526521881005	0	0	0	0.008678596844462188	0	0.00568692348813139	0	0.006056018168054504	0	0.001864002385923054	0	0.0061608221001010375	0	0.006069802731411229	0	0.003973246804847361	0	0	0	0.005445792580652188	0	0.001219422969051045	0	0.006894887440962527	0	0.004133213470142699	0	0	0	0.0027151041242431647	0	0.0025388443180664163	0	0	0	0.006803338171262699	0	0.006040379939898219	0	0.0028633604398121634	0	0.006571165724799579	0.0010951942874665966	0.0021532697401003423	0	0.006164404672618742	0
22	0.0021145374449339205	0	0.0017904782367370324	0	0	0	0.0024059667976581924	0	0.007903264048051846	0	0.009466260669264629	0	0.0032340480579541413	0	0.0015900273484703938	0	0	0	0.0036636746656896865	0	0.0009092231597323247	0	0.005296610169491525	0	0.005978805135793612	0	0	0	0.0013618412093149939	0	0.004688782088852421	0	0.005846517229686276	0	0.0009957679860592482	0	0.0076511094108645756	0	0.006074319296593826	0	0.0047140015273364946	0	0.009070660444865502	0	0.004278733837082931	0	0.004812134277794888	0	0.005438526521881005	0	0	0	0.008678596844462188	0	0.00568692348813139	0	0.006056018168054504	0	0.001864002385923054	0	0.0061608221001010375	0	0.006069802731411229	0	0.003973246804847361	0	0	0	0.005445792580652188	0	0.001219422969051045	0	0.006894887440962527	0	0.004133213470142699	0	0	0	0.0027151041242431647	0	0.0025388443180664163	0	0	0	0.006803338171262699	0	0.006040379939898219	0	0.0028633604398121634	0	0.006571165724799579	0.0010951942874665966	0.0021532697401003423	0	0.006164404672618742	0
24	0.0021145374449339205	0	0.0017904782367370324	0	0	0	0.0024059667976581924	0	0.007903264048051846	0	0.009466260669264629	0	0.0032340480579541413	0	0.0023850410227055905	0	0	0	0.0036636746656896865	0	0.0009092231597323247	0	0.005296610169491525	0	0.005978805135793612	0	0	0	0.0013618412093149939	0	0.004688782088852421	0	0.005846517229686276	0	0.0009957679860592482	0	0.0076511094108645756	0	0.006074319296593826	0	0.0047140015273364946	0	0.009070660444865502	0.0010078511605406113	0.004278733837082931	0	0.004812134277794888	0	0.005438526521881005	0	0	0	0.008678596844462188	0	0.00568692348813139	0	0.006056018168054504	0	0.001864002385923054	0	0.0061608221001010375	0	0.006069802731411229	0	0.003973246804847361	0	0	0	0.005445792580652188	0	0.001219422969051045	0	0.006894887440962527	0	0.004133213470142699	0.0005166516837678374	0	0	0.0027151041242431647	0	0.0025388443180664163	0	0	0	0.006803338171262699	0	0.006040379939898219	0	0.0028633604398121634	0	0.006571165724799579	0.0010951942874665966	0.0021532697401003423	0	0.006164404672618742	0
26	0.0021145374449339205	0	0.0017904782367370324	0	0	0	0.004410939129040019	0	0.007903264048051846	0	0.009466260669264629	0	0.0032340480579541413	0	0.0031800546969407875	0	0	0	0.0036636746656896865	0	0.0009092231597323247	0	0.005296610169491525	0.0017655367231638418	0.005978805135793612	0	0	0	0.0013618412093149939	0	0.004688782088852421	0	0.005846517229686276	0	0.0009957679860592482	0	0.0076511094108645756	0	0.006074319296593826	0	0.0047140015273364946	0	0.009070660444865502	0.001511776740810917	0.004278733837082931	0	0.004812134277794888	0	0.005438526521881005	0	0	0	0.008678596844462188	0	0.00568692348813139	0	0.006056018168054504	0	0.001864002385923054	0	0.0061608221001010375	0	0.006069802731411229	0	0.003973246804847361	0	0	0	0.005445792580652188	0	0.001219422969051045	0	0.006894887440962527	0	0.004133213470142699	0.0010333033675356748	0	0	0.0027151041242431647	0	0.0025388443180664163	0	0	0	0.009071117561683599	0	0.006040379939898219	0	0.0028633604398121634	0	0.007118762868532877	0.0010951942874665966	0.0021532697401003423	0	0.006164404672618742	0
28	0.0021145374449339205	0	0.0017904782367370324	0.0017904782367370324	0	0	0.006415911460421846	0.0012029833988290962	0.007903264048051846	0	0.009466260669264629	0	0.0032340480579541413	0	0.0031800546969407875	0	0	0	0.0036636746656896865	0	0.0009092231597323247	0	0.005296610169491525	0.0017655367231638418	0.005978805135793612	0	0	0	0.0013618412093149939	0	0.004688782088852421	0	0.005846517229686276	0	0.0009957679860592482	0	0.0076511094108645756	0	0.006074319296593826	0	0.0047140015273364946	0	0.009070660444865502	0.0020157023210812227	0.004278733837082931	0	0.004812134277794888	0	0.005438526521881005	0	0	0.0014906017559288686	0.008678596844462188	0	0.00568692348813139	0	0.006056018168054504	0	0.001864002385923054	0	0.0061608221001010375	0	0.006069802731411229	0	0.003973246804847361	0	0	0	0.005445792580652188	0	0.001219422969051045	0	0.006894887440962527	0	0.004133213470142699	0.0010333033675356748	0	0	0.0027151041242431647	0	0.0025388443180664163	0	0	0	0.009071117561683599	0	0.006040379939898219	0	0.0028633604398121634	0	0.007666360012266176	0.0010951942874665966	0.0021532697401003423	0	0.006164404672618742	0
30	0.0021145374449339205	0	0.0017904782367370324	0.0017904782367370324	0	0	0.007217900392974577	0.0016039778651054616	0.007903264048051846	0	0.009466260669264629	0	0.0032340480579541413	0	0.0031800546969407875	0	0	0	0.0036636746656896865	0	0.0009092231597323247	0	0.005296610169491525	0.0017655367231638418	0.005978805135793612	0	0	0	0.0013618412093149939	0	0.004688782088852421	0	0.005846517229686276	0	0.0009957679860592482	0	0.0076511094108645756	0	0.006074319296593826	0	0.0047140015273364946	0	0.009070660444865502	0.0020157023210812227	0.004278733837082931	0	0.004812134277794888	0	0.005438526521881005	0	0	0.0014906017559288686	0.008678596844462188	0	0.00568692348813139	0	0.006056018168054504	0	0.001864002385923054	0	0.0061608221001010375	0	0.006069802731411229	0	0.003973246804847361	0.0006622078008078935	0	0	0.005445792580652188	0.0005445792580652188	0.001219422969051045	0	0.006894887440962527	0	0.004133213470142699	0.0010333033675356748	0	0	0.0027151041242431647	0	0.0025388443180664163	0	0	0	0.009071117561683599	0	0.006040379939898219	0	0.0028633604398121634	0	0.007666360012266176	0.0010951942874665966	0.0021532697401003423	0	0.006164404672618742	0
32	0.0021145374449339205	0.0003524229074889868	0.0017904782367370324	0.0017904782367370324	0	0	0.010024861656909134	0.0016039778651054616	0.007903264048051846	0	0.009466260669264629	0	0.0032340480579541413	0	0.0031800546969407875	0	0	0	0.0036636746656896865	0	0.0009092231597323247	0	0.005296610169491525	0.0017655367231638418	0.005978805135793612	0	0	0	0.0013618412093149939	0	0.004688782088852421	0	0.005846517229686276	0	0.0009957679860592482	0	0.0076511094108645756	0	0.006074319296593826	0	0.0047140015273364946	0.0004714001527336495	0.009070660444865502	0.0020157023210812227	0.004278733837082931	0	0.005774561133353865	0	0.005438526521881005	0	0	0.0014906017559288686	0.008678596844462188	0	0.00568692348813139	0	0.006056018168054504	0	0.001864002385923054	0	0.0061608221001010375	0	0.006069802731411229	0	0.003973246804847361	0.001324415601615787	0	0	0.005445792580652188	0.0010891585161304377	0.001219422969051045	0	0.006894887440962527	0	0.004649865153910537	0.0010333033675356748	0	0	0.0027151041242431647	0	0.0025388443180664163	0	0	0	0.009071117561683599	0	0.006040379939898219	0	0.0028633604398121634	0	0.007666360012266176	0.0010951942874665966	0.0021532697401003423	0	0.006164404672618742	0
34	0.0021145374449339205	0.0007048458149779736	0.0017904782367370324	0.0017904782367370324	0	0	0.01122784505573823	0.0016039778651054616	0.007903264048051846	0	0.009466260669264629	0	0.0032340480579541413	0	0.0031800546969407875	0	0	0	0.0036636746656896865	0	0.0009092231597323247	0	0.005296610169491525	0.0017655367231638418	0.005978805135793612	0	0	0	0.0013618412093149939	0	0.004688782088852421	0	0.005846517229686276	0	0.0009957679860592482	0	0.0076511094108645756	0	0.006074319296593826	0	0.0047140015273364946	0.000942800305467299	0.009574586025135808	0.0020157023210812227	0.004278733837082931	0	0.005774561133353865	0	0.005438526521881005	0	0	0.002235902633893303	0.008678596844462188	0	0.00568692348813139	0	0.006056018168054504	0	0.001864002385923054	0	0.0061608221001010375	0	0.006069802731411229	0	0.003973246804847361	0.001324415601615787	0	0	0.005445792580652188	0.0016337377741956565	0.001219422969051045	0	0.006894887440962527	0	0.005166516837678374	0.0010333033675356748	0	0	0.0027151041242431647	0	0.0025388443180664163	0	0	0	0.009071117561683599	0	0.006040379939898219	0	0.0028633604398121634	0	0.007666360012266176	0.0010951942874665966	0.0021532697401003423	0	0.006164404672618742	0
36	0.0021145374449339205	0.0007048458149779736	0.003580956473474065	0.0017904782367370324	0	0	0.011628839522014597	0.0016039778651054616	0.007903264048051846	0	0.009466260669264629	0	0.004851072086931212	0	0.0031800546969407875	0	0	0	0.0036636746656896865	0	0.0009092231597323247	0	0.005296610169491525	0.0017655367231638418	0.005978805135793612	0	0	0	0.0013618412093149939	0	0.004688782088852421	0	0.005846517229686276	0	0.0009957679860592482	0	0.0076511094108645756	0	0.006074319296593826	0	0.0047140015273364946	0.000942800305467299	0.010078511605406114	0.0020157023210812227	0.004278733837082931	0.0008557467674165861	0.005774561133353865	0	0.005438526521881005	0	0	0.0037265043898221713	0.008678596844462188	0	0.00568692348813139	0	0.006056018168054504	0	0.001864002385923054	0	0.0061608221001010375	0	0.006069802731411229	0	0.003973246804847361	0.001324415601615787	0	0	0.005445792580652188	0.0021783170322608753	0.0018291344535765676	0	0.006894887440962527	0	0.005166516837678374	0.0010333033675356748	0.0030377132094958916	0	0.0027151041242431647	0	0.0025388443180664163	0	0	0	0.009071117561683599	0	0.006040379939898219	0	0.0028633604398121634	0	0.007666360012266176	0.0010951942874665966	0.0021532697401003423	0	0.006164404672618742	0
38	0.0021145374449339205	0.0007048458149779736	0.003580956473474065	0.0017904782367370324	0	0	0.012029833988290961	0.0016039778651054616	0.007903264048051846	0	0.009466260669264629	0	0.009702144173862424	0	0.0031800546969407875	0	0	0	0.0036636746656896865	0	0.0009092231597323247	0	0.005296610169491525	0.0017655367231638418	0.005978805135793612	0	0	0	0.0013618412093149939	0	0.004688782088852421	0	0.005846517229686276	0	0.0009957679860592482	0	0.0076511094108645756	0	0.006074319296593826	0.0007592899120742282	0.0047140015273364946	0.000942800305467299	0.010078511605406114	0.0020157023210812227	0.004278733837082931	0.0008557467674165861	0.005774561133353865	0.0009624268555589776	0.005438526521881005	0	0	0.004471805267786605	0.008678596844462188	0	0.00568692348813139	0	0.006056018168054504	0	0.001864002385923054	0	0.0061608221001010375	0	0.006069802731411229	0	0.003973246804847361	0.001324415601615787	0	0	0.005990371838717408	0.0021783170322608753	0.00243884593810209	0	0.006894887440962527	0	0.005166516837678374	0.0010333033675356748	0.0030377132094958916	0	0.0027151041242431647	0	0.0025388443180664163	0	0	0	0.009071117561683599	0	0.006040379939898219	0	0.0028633604398121634	0	0.008213957155999475	0.0010951942874665966	0.0021532697401003423	0	0.006164404672618742	0
40	0.0024669603524229075	0.0007048458149779736	0.003580956473474065	0.0017904782367370324	0	0	0.012029833988290961	0.0016039778651054616	0.007903264048051846	0	0.009466260669264629	0	0.009702144173862424	0.0008085120144885353	0.0031800546969407875	0	0	0.001075141649912376	0.0036636746656896865	0	0.0009092231597323247	0	0.005296610169491525	0.0017655367231638418	0.005978805135793612	0	0	0	0.0013618412093149939	0.0013618412093149939	0.004688782088852421	0	0.005846517229686276	0	0.0009957679860592482	0	0.0076511094108645756	0	0.007592899120742282	0.0015185798241484564	0.005185401680070144	0.000942800305467299	0.010078511605406114	0.0020157023210812227	0.004278733837082931	0.0012836201511248792	0.006255774561133354	0.0019248537111179551	0.005438526521881005	0	0	0.004471805267786605	0.008678596844462188	0	0.00568692348813139	0	0.006056018168054504	0	0.001864002385923054	0	0.0061608221001010375	0	0.006069802731411229	0	0.003973246804847361	0.001324415601615787	0	0	0.006534951096782626	0.0021783170322608753	0.00487769187620418	0	0.006894887440962527	0	0.005166516837678374	0.0020666067350713496	0.004556569814243837	0	0.0027151041242431647	0	0.0025388443180664163	0.0012694221590332081	0	0	0.009071117561683599	0	0.006040379939898219	0	0.0028633604398121634	0	0.008761554299732773	0.0010951942874665966	0.0021532697401003423	0	0.006164404672618742	0
42	0.003524229074889868	0.0007048458149779736	0.003580956473474065	0.0017904782367370324	0	0	0.012029833988290961	0.0016039778651054616	0.007903264048051846	0	0.009466260669264629	0	0.009702144173862424	0.0016170240289770706	0.0031800546969407875	0	0	0.001075141649912376	0.0036636746656896865	0	0.0009092231597323247	0	0.005296610169491525	0.0017655367231638418	0.005978805135793612	0	0	0	0.0013618412093149939	0.0013618412093149939	0.004688782088852421	0	0.005846517229686276	0	0.0009957679860592482	0	0.0076511094108645756	0	0.007592899120742282	0.0015185798241484564	0.005656801832803794	0.000942800305467299	0.010078511605406114	0.0020157023210812227	0.004278733837082931	0.0017114935348331722	0.006736987988912843	0.0019248537111179551	0.005438526521881005	0	0.0007453008779644343	0.004471805267786605	0.008678596844462188	0	0.00568692348813139	0	0.006056018168054504	0	0.001864002385923054	0	0.0061608221001010375	0	0.006069802731411229	0	0.003973246804847361	0.00198662340242368	0	0	0.006534951096782626	0.0021783170322608753	0.00487769187620418	0	0.006894887440962527	0	0.005166516837678374	0.0020666067350713496	0.006834854721365756	0	0.0027151041242431647	0	0.0025388443180664163	0.0012694221590332081	0.0012888923259350914	0	0.009071117561683599	0	0.006040379939898219	0	0.0028633604398121634	0	0.008761554299732773	0.0010951942874665966	0.0021532697401003423	0	0.006164404672618742	0
44	0.004933920704845815	0.0007048458149779736	0.003580956473474065	0.0017904782367370324	0	0	0.012029833988290961	0.0016039778651054616	0.007903264048051846	0	0.009466260669264629	0	0.01051065618835096	0.0016170240289770706	0.0031800546969407875	0	0	0.001075141649912376	0.0036636746656896865	0	0.0018184463194646494	0	0.005296610169491525	0.0017655367231638418	0.005978805135793612	0	0	0	0.0013618412093149939	0.0020427618139724907	0.004688782088852421	0	0.005846517229686276	0	0.0009957679860592482	0	0.0076511094108645756	0	0.009111478944890738	0.0015185798241484564	0.005656801832803794	0.000942800305467299	0.010582437185676419	0.0020157023210812227	0.004278733837082931	0.0017114935348331722	0.006736987988912843	0.0019248537111179551	0.005438526521881005	0	0.0014906017559288686	0.004471805267786605	0.008678596844462188	0	0.00568692348813139	0	0.006056018168054504	0	0.001864002385923054	0	0.0061608221001010375	0	0.006069802731411229	0	0.003973246804847361	0.002648831203231574	0	0	0.006534951096782626	0.0021783170322608753	0.00487769187620418	0	0.00746946139437607	0	0.005166516837678374	0.0020666067350713496	0.007594283023739728	0	0.0027151041242431647	0	0.0025388443180664163	0.0012694221590332081	0.002577784651870183	0	0.009071117561683599	0	0.006040379939898219	0	0.0028633604398121634	0	0.008761554299732773	0.0010951942874665966	0.0021532697401003423	0	0.006164404672618742	0
46	0.0052863436123348016	0.0007048458149779736	0.008952391183685163	0.0017904782367370324	0.00047465800890458424	0	0.012831822920843693	0.0024059667976581924	0.007903264048051846	0	0.009466260669264629	0	0.011319168202839494	0.0016170240289770706	0.0031800546969407875	0	0	0.001075141649912376	0.0036636746656896865	0	0.002727669479196974	0	0.006179378531073447	0.0017655367231638418	0.005978805135793612	0	0	0	0.0013618412093149939	0.004085523627944981	0.004688782088852421	0	0.007015820675623531	0	0.0009957679860592482	0	0.0076511094108645756	0	0.009870768856964966	0.0015185798241484564	0.005656801832803794	0.000942800305467299	0.012094213926487336	0.0020157023210812227	0.005134480604499517	0.0017114935348331722	0.007218201416692332	0.0019248537111179551	0.005438526521881005	0	0.0014906017559288686	0.004471805267786605	0.009112526686685298	0	0.00568692348813139	0	0.006056018168054504	0	0.001864002385923054	0	0.0061608221001010375	0	0.006069802731411229	0	0.003973246804847361	0.002648831203231574	0	0	0.006534951096782626	0.002722896290326094	0.006097114845255226	0	0.008044035347789615	0	0.005166516837678374	0.0020666067350713496	0.007594283023739728	0	0.0027151041242431647	0	0.0025388443180664163	0.0012694221590332081	0.002577784651870183	0	0.01020500725689405	0	0.006040379939898219	0	0.0028633604398121634	0	0.008761554299732773	0.0010951942874665966	0.0021532697401003423	0	0.006164404672618742	0
48	0.0059911894273127755	0.0007048458149779736	0.008952391183685163	0.0017904782367370324	0.0009493160178091685	0	0.013633811853396424	0.0024059667976581924	0.007903264048051846	0	0.009466260669264629	0	0.012127680217328029	0.0016170240289770706	0.0031800546969407875	0	0	0.001075141649912376	0.0036636746656896865	0	0.002727669479196974	0	0.007062146892655367	0.0017655367231638418	0.01046290898763882	0	0	0	0.0013618412093149939	0.004085523627944981	0.004688782088852421	0	0.007015820675623531	0	0.0009957679860592482	0	0.0076511094108645756	0	0.010630058769039195	0.0015185798241484564	0.005656801832803794	0.002828400916401897	0.013605990667298253	0.003023553481621834	0.006418100755624396	0.0017114935348331722	0.008180628272251309	0.0019248537111179551	0.005438526521881005	0	0.0014906017559288686	0.004471805267786605	0.009546456528908407	0	0.00568692348813139	0	0.006056018168054504	0	0.001864002385923054	0	0.0061608221001010375	0	0.008093070308548306	0	0.003973246804847361	0.002648831203231574	0	0	0.006534951096782626	0.003267475548391313	0.007926249298831792	0	0.008044035347789615	0	0.007233123572749724	0.0020666067350713496	0.008353711326113702	0	0.0027151041242431647	0	0.00317355539758302	0.0012694221590332081	0.002577784651870183	0	0.011338896952104499	0	0.006040379939898219	0	0.0028633604398121634	0	0.008761554299732773	0.0010951942874665966	0.0021532697401003423	0	0.006164404672618742	0
